scenario_name,output_dir,settings,simutype,base_cohort_name,new_cohort_model,startyr,stpyr,endyr,nreps,medicare_elig_age,init_interventions,interventions,condlist,bin_hzd,bin_trst,ordered,cenbin,cencont,xsectional,detailed_output
elig.age67,output,elig.age67,3,stock_hrs_2004,status_quo,2004,2036,2036,10,medicare_elig_67,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
elig.age70,output,elig.age70,3,stock_hrs_2004,status_quo,2004,2036,2036,10,medicare_elig_70,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
ACA,output,,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
mcare.0elas,output,mcare.0elas,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
mcare.neg2elas,output,mcare.neg2elas,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
mcare.neg5elas,output,mcare.neg5elas,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
voucher.cpi,output,voucher.base,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
voucher.gdp,output,voucher.base voucher.gdp,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
voucher.gdp.plus1,output,voucher.base voucher.gdp.plus1,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
partA.drop00,output,partA.ACAthresh partA.drop00,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
partA.drop03,output,partA.ACAthresh,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
partA.drop03.25percent,output,partA.drop03.25percent,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
partA.drop03.real.dollars,output,partA.drop03.real.dollars,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
partA.drop03.10percent,output,partA.drop03.10percent,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
partA.drop05,output,partA.ACAthresh partA.drop05,3,stock_hrs_2004,status_quo,2004,2036,2036,10,65,,,cancre diabe hibpe hearte lunge stroke,dbclaim ssclaim,nhmliv diclaim ssiclaim anyhi,logbmi smkstat adlstat iadlstat,work wlth_nonzero hicap_nonzero igxfr_nonzero,iearnx hatotax,qaly,0
