* Earning Disregard for ages [62, nra) for a given year and age. Historical to 2010, Then indexed to NWI as MAX(EDA1(Year-2), ROUND(NWI(Year – 2) / NWI(1992) *670/10)*120). Based on SSA TR 09 Low Cost Assumptions
1950	5400
1951	5400
1952	5400
1953	5400
1954	5400
1955	5400
1956	5400
1957	5400
1958	5400
1959	5400
1960	5400
1961	5400
1962	5400
1963	5400
1964	5400
1965	5400
1966	5400
1967	5400
1968	5400
1969	5400
1970	5400
1971	5400
1972	5400
1973	5400
1974	5400
1975	5400
1976	5400
1977	5400
1978	5400
1979	5400
1980	5400
1981	5400
1982	5400
1983	5400
1984	5400
1985	5400
1986	5760
1987	6000
1988	6120
1989	6480
1990	6840
1991	7080
1992	7440
1993	7680
1994	8040
1995	8160
1996	8280
1997	8640
1998	9120
1999	9600
2000	10080
2001	10680
2002	11280
2003	11520
2004	11640
2005	12000
2006	12480
2007	12960
2008	13560
2009	14160
2010	14160
2011	14640
2012	15000
2013	15360
2014	15600
2015	15840
2016	16080
2017	16320
2018	16560
2019	16800
2020	17160
2021	17400
2022	17640
2023	18000
2024	18240
2025	18600
2026	18840
2027	19200
2028	19440
2029	19800
2030	20160
2031	20400
2032	20760
2033	21120
2034	21480
2035	21840
2036	22200
2037	22560
2038	22920
2039	23280
2040	23760
2041	24120
2042	24480
2043	24960
2044	25320
2045	25800
2046	26160
2047	26640
2048	27120
2049	27480
2050	27960
2051	28440
2052	28920
2053	29400
2054	29880
2055	30480
2056	30960
2057	31440
2058	32040
2059	32520
2060	33120
2061	33600
2062	34200
2063	34800
2064	35400
2065	36000
2066	36600
2067	37200
2068	37800
2069	38520
2070	39120
2071	39840
2072	40440
2073	41160
2074	41880
2075	42600
2076	43320
2077	44040
2078	44760
2079	45480
2080	46200
2081	47040
2082	47880
2083	48600
2084	49440
2085	50280
2086	51120
2087	51960
2088	52920
2089	53760
2090	54600
2091	55560
2092	56520
2093	57480
2094	58440
2095	59400
2096	60360
2097	61320
2098	62400
2099	63480
2100	64440
