* National Wage Index. Source, SSA 2009 TR Low Cost Assumptions, Table VI.F6. Historical through 2009, 1.7% long term real growth	
1951	2799.16
1952	2973.32
1953	3139.44
1954	3155.64
1955	3301.44
1956	3532.36
1957	3641.72
1958	3673.8
1959	3855.8
1960	4007.12
1961	4086.76
1962	4291.4
1963	4396.64
1964	4576.32
1965	4658.72
1966	4938.36
1967	5213.44
1968	5571.76
1969	5893.76
1970	6186.24
1971	6497.08
1972	7133.8
1973	7580.16
1974	8030.76
1975	8630.92
1976	9226.48
1977	9779.44
1978	10556.03
1979	11479.46
1980	12513.46
1981	13773.1
1982	14531.34
1983	15239.24
1984	16135.07
1985	16822.51
1986	17321.82
1987	18426.51
1988	19334.04
1989	20099.55
1990	21027.98
1991	21811.6
1992	22935.42
1993	23132.67
1994	23753.53
1995	24705.66
1996	25913.9
1997	27426
1998	28861.44
1999	30469.84
2000	32154.82
2001	32921.92
2002	33252.09
2003	34064.95
2004	35648.55
2005	36952.94
2006	38651.41
2007	40405.48
2008	41334.97
2009	41908.75882
2010	42724.21975
2011	43718.27024
2012	44562.99562
2013	45221.46262
2014	45736.5984
2015	46524.59314
2016	47249.29721
2017	48025.26438
2018	48857.33989
2019	49663.45952
2020	50464.22148
2021	51282.03858
2022	52105.60457
2023	52933.28939
2024	53788.12756
2025	54666.32766
2026	55558.36906
2027	56467.76002
2028	57387.17979
2029	58319.82621
2030	59271.15836
2031	60243.57043
2032	61239.16657
2033	62254.25788
2034	63287.04039
2035	64337.64454
2036	65406.98447
2037	66498.59522
2038	67612.06653
2039	68746.42683
2040	69901.18828
2041	71076.28837
2042	72271.69295
2043	73487.46809
2044	74724.2439
2045	75980.63369
2046	77257.29684
2047	78555.46698
2048	79875.24458
2049	81214.79925
2050	82573.07164
2051	83955.11919
2052	85364.26131
2053	86800.41765
2054	88261.58685
2055	89747.53181
2056	91259.01236
2057	92796.84175
2058	94362.40048
2059	95955.6725
2060	97577.66981
2061	99229.34735
2062	100909.8356
2063	102618.8142
2064	104356.2922
2065	106122.2727
2066	107917.9356
2067	109743.9962
2068	111602.4487
2069	113491.04
2070	115411.0441
2071	117362.295
2072	119345.4457
2073	121362.7572
2074	123414.194
2075	125499.5086
2076	127618.7693
2077	129772.1614
2078	131960.2643
2079	134183.9098
2080	136443.8358
2081	138740.9386
2082	141075.4101
2083	143449.77
2084	145872.2422
2085	148350.4185
2086	150827.783
2087	153346.5181
2088	155907.3146
2089	158510.8748
2090	161157.913
2091	163849.1552
2092	166585.3395
2093	169367.2165
2094	172195.5492
2095	175071.1134
2096	177994.6978
2097	180967.1043
2098	183989.1483
2099	187061.6586
2100	190185.4781

