* Social Security Wage Cap, indexed to NWI as MAX(CBB(Year – 1),ROUND(NWI(Year – 2)/NWI(1992)*60600)/300)*300). Based on SSA TR 09 Low Cost Assumptions
1950	3000
1951	3600
1952	3600
1953	3600
1954	3600
1955	4200
1956	4200
1957	4200
1958	4200
1959	4800
1960	4800
1961	4800
1962	4800
1963	4800
1964	4800
1965	4800
1966	6600
1967	6600
1968	7800
1969	7800
1970	7800
1971	7800
1972	9000
1973	10800
1974	13200
1975	14100
1976	15300
1977	16500
1978	17700
1979	22900
1980	25900
1981	29700
1982	32400
1983	35700
1984	37800
1985	39600
1986	42000
1987	43800
1988	45000
1989	48000
1990	51300
1991	53400
1992	55500
1993	57600
1994	60600
1995	61200
1996	62700
1997	65400
1998	68400
1999	72600
2000	76200
2001	80400
2002	84900
2003	87000
2004	87900
2005	90000
2006	94200
2007	97500
2008	102000
2009	106800
2010	106800
2011	111600
2012	113400
2013	115200
2014	116700
2015	118200
2016	119100
2017	120900
2018	122100
2019	123300
2020	124500
2021	125700
2022	127200
2023	128400
2024	129900
2025	131100
2026	132600
2027	133800
2028	135300
2029	136800
2030	138300
2031	139800
2032	141300
2033	142800
2034	144300
2035	146100
2036	147600
2037	149400
2038	150900
2039	152700
2040	154500
2041	156300
2042	157800
2043	159600
2044	161400
2045	163200
2046	165300
2047	167100
2048	168900
2049	170700
2050	172800
2051	174600
2052	176400
2053	178500
2054	180300
2055	182400
2056	184500
2057	186300
2058	188400
2059	190500
2060	192600
2061	194700
2062	196800
2063	199200
2064	201300
2065	203400
2066	205800
2067	207900
2068	210300
2069	212700
2070	215100
2071	217200
2072	219600
2073	222300
2074	224700
2075	227100
2076	229500
2077	232200
2078	234600
2079	237300
2080	240000
2081	242400
2082	245100
2083	247800
2084	250500
2085	253500
2086	256200
2087	259200
2088	261900
2089	264900
2090	267600
2091	270600
2092	273600
2093	276600
2094	279600
2095	282900
2096	285900
2097	288900
2098	292200
2099	295500
2100	298800
