* National Wage Index. Source, SSA 2009 TR Intermediate Cost Assumptions, Table VI.F6. Historical through 2009, 1.1% long term real growth	
1951	2799.16
1952	2973.32
1953	3139.44
1954	3155.64
1955	3301.44
1956	3532.36
1957	3641.72
1958	3673.8
1959	3855.8
1960	4007.12
1961	4086.76
1962	4291.4
1963	4396.64
1964	4576.32
1965	4658.72
1966	4938.36
1967	5213.44
1968	5571.76
1969	5893.76
1970	6186.24
1971	6497.08
1972	7133.8
1973	7580.16
1974	8030.76
1975	8630.92
1976	9226.48
1977	9779.44
1978	10556.03
1979	11479.46
1980	12513.46
1981	13773.1
1982	14531.34
1983	15239.24
1984	16135.07
1985	16822.51
1986	17321.82
1987	18426.51
1988	19334.04
1989	20099.55
1990	21027.98
1991	21811.6
1992	22935.42
1993	23132.67
1994	23753.53
1995	24705.66
1996	25913.9
1997	27426
1998	28861.44
1999	30469.84
2000	32154.82
2001	32921.92
2002	33252.09
2003	34064.95
2004	35648.55
2005	36952.94
2006	38651.41
2007	40405.48
2008	41334.97
2009	41694.23481
2010	42371.7025
2011	43081.154
2012	43636.91138
2013	44084.98725
2014	44500.02248
2015	45091.05938
2016	45503.05067
2017	45947.64182
2018	46414.24234
2019	46884.96763
2020	47362.64839
2021	47848.94103
2022	48333.42316
2023	48814.89803
2024	49313.54761
2025	49824.39296
2026	50341.64571
2027	50870.14354
2028	51403.25627
2029	51943.42215
2030	52493.01467
2031	53053.92068
2032	53627.86158
2033	54211.90239
2034	54802.45625
2035	55398.45077
2036	56000.85084
2037	56613.19505
2038	57234.68607
2039	57863.85079
2040	58499.51111
2041	59141.95585
2042	59790.57749
2043	60445.14467
2044	61105.98407
2045	61771.71362
2046	62443.12435
2047	63120.04389
2048	63802.40401
2049	64491.22355
2050	65185.85921
2051	65885.20109
2052	66590.90142
2053	67304.0611
2054	68023.21129
2055	68748.99374
2056	69482.01813
2057	70221.78153
2058	70970.5909
2059	71729.11222
2060	72496.70476
2061	73274.36745
2062	74062.28359
2063	74858.06245
2064	75661.80042
2065	76474.4587
2066	77296.60367
2067	78127.41413
2068	78967.36697
2069	79816.23526
2070	80673.74078
2071	81539.65515
2072	82413.39728
2073	83296.30013
2074	84189.30893
2075	85093.58594
2076	86006.49392
2077	86928.53482
2078	87860.63031
2079	88802.91818
2080	89754.51777
2081	90716.17109
2082	91687.24368
2083	92668.94418
2084	93667.64151
2085	94686.6533
2086	95699.83733
2087	96723.86283
2088	97758.8458
2089	98804.90349
2090	99862.1544
2091	100930.7183
2092	102010.7163
2093	103102.2706
2094	104205.505
2095	105320.5445
2096	106447.5153
2097	107586.5451
2098	108737.763
2099	109901.2994
2100	111077.2861
