* National Wage Index. Source, SSA 2009 TR High Cost Assumptions, Table VI.F6. Historical through 2009, 0.5% long term real growth	
1951	2799.16
1952	2973.32
1953	3139.44
1954	3155.64
1955	3301.44
1956	3532.36
1957	3641.72
1958	3673.8
1959	3855.8
1960	4007.12
1961	4086.76
1962	4291.4
1963	4396.64
1964	4576.32
1965	4658.72
1966	4938.36
1967	5213.44
1968	5571.76
1969	5893.76
1970	6186.24
1971	6497.08
1972	7133.8
1973	7580.16
1974	8030.76
1975	8630.92
1976	9226.48
1977	9779.44
1978	10556.03
1979	11479.46
1980	12513.46
1981	13773.1
1982	14531.34
1983	15239.24
1984	16135.07
1985	16822.51
1986	17321.82
1987	18426.51
1988	19334.04
1989	20099.55
1990	21027.98
1991	21811.6
1992	22935.42
1993	23132.67
1994	23753.53
1995	24705.66
1996	25913.9
1997	27426
1998	28861.44
1999	30469.84
2000	32154.82
2001	32921.92
2002	33252.09
2003	34064.95
2004	35648.55
2005	36952.94
2006	38651.41
2007	40405.48
2008	41334.97
2009	41759.70349
2010	42221.21891
2011	42868.15926
2012	42312.57642
2013	42256.74527
2014	42730.1943
2015	43301.25125
2016	43737.36397
2017	43963.63595
2018	44051.06577
2019	44208.90974
2020	44400.5098
2021	44600.83627
2022	44795.62753
2023	44983.94622
2024	45183.45429
2025	45389.86147
2026	45601.41491
2027	45821.21241
2028	46043.14482
2029	46269.24547
2030	46500.65301
2031	46738.09067
2032	46984.91511
2033	47235.87641
2034	47488.44018
2035	47741.08353
2036	47994.9577
2037	48251.40335
2038	48510.79767
2039	48771.29603
2040	49032.0971
2041	49294.08682
2042	49555.13511
2043	49814.31665
2044	50073.80271
2045	50332.00398
2046	50588.99909
2047	50846.00838
2048	51101.84897
2049	51357.88926
2050	51614.44925
2051	51866.05314
2052	52114.1131
2053	52361.94846
2054	52607.59115
2055	52851.6783
2056	53096.31652
2057	53342.25657
2058	53588.77121
2059	53835.47548
2060	54084.73329
2061	54335.28122
2062	54585.3764
2063	54836.06099
2064	55091.07924
2065	55347.45028
2066	55604.76958
2067	55863.45988
2068	56124.61214
2069	56386.54528
2070	56649.88348
2071	56913.68516
2072	57177.43751
2073	57442.55565
2074	57708.13872
2075	57976.87501
2076	58246.98628
2077	58518.04078
2078	58792.25712
2079	59067.24521
2080	59343.39853
2081	59623.40155
2082	59905.79776
2083	60188.86524
2084	60475.65735
2085	60770.16192
2086	61062.8891
2087	61357.02633
2088	61652.58041
2089	61949.55815
2090	62247.96643
2091	62547.81213
2092	62849.10217
2093	63151.84351
2094	63456.04314
2095	63761.70808
2096	64068.84541
2097	64377.4622
2098	64687.56558
2099	64999.16272
2100	65312.2608
