* Excess real growth in medical costs, as an index starting in 1992. Assume no excess growth	
1992	100
1993	100
1994	100
1995	100
1996	100
1997	100
1998	100
1999	100
2000	100
2001	100
2002	100
2003	100
2004	100
2005	100
2006	100
2007	100
2008	100
2009	100
2010	100
2011	100
2012	100
2013	100
2014	100
2015	100
2016	100
2017	100
2018	100
2019	100
2020	100
2021	100
2022	100
2023	100
2024	100
2025	100
2026	100
2027	100
2028	100
2029	100
2030	100
2031	100
2032	100
2033	100
2034	100
2035	100
2036	100
2037	100
2038	100
2039	100
2040	100
2041	100
2042	100
2043	100
2044	100
2045	100
2046	100
2047	100
2048	100
2049	100
2050	100
2051	100
2052	100
2053	100
2054	100
2055	100
2056	100
2057	100
2058	100
2059	100
2060	100
2061	100
2062	100
2063	100
2064	100
2065	100
2066	100
2067	100
2068	100
2069	100
2070	100
2071	100
2072	100
2073	100
2074	100
2075	100
2076	100
2077	100
2078	100
2079	100
2080	100
2081	100
2082	100
2083	100
2084	100
2085	100
2086	100
2087	100
2088	100
2089	100
2090	100
2091	100
2092	100
2093	100
2094	100
2095	100
2096	100
2097	100
2098	100
2099	100
2100	100
