* National Wage Index	
1950	2799.16
1951	2799.16
1952	2973.32
1953	3139.44
1954	3155.64
1955	3301.44
1956	3532.36
1957	3641.72
1958	3673.8
1959	3855.8
1960	4007.12
1961	4086.76
1962	4291.4
1963	4396.64
1964	4576.32
1965	4658.72
1966	4938.36
1967	5213.44
1968	5571.76
1969	5893.76
1970	6186.24
1971	6497.08
1972	7133.8
1973	7580.16
1974	8030.76
1975	8630.92
1976	9226.48
1977	9779.44
1978	10556.03
1979	11479.46
1980	12513.46
1981	13773.1
1982	14531.34
1983	15239.24
1984	16135.07
1985	16822.51
1986	17321.82
1987	18426.51
1988	19334.04
1989	20099.55
1990	21027.98
1991	21811.6
1992	22935.42
1993	23132.67
1994	23753.53
1995	24705.66
1996	25913.9
1997	27426
1998	28861.44
1999	30469.84
2000	32154.82
2001	32921.92
2002	33514.51
2003	34151.29
2004	35483.19
2005	35483.19
2006	35483.19
2007	35483.19
2008	35483.19
2009	35483.19
2010	35483.19
2011	35483.19
2012	35483.19
2013	35483.19
2014	35483.19
2015	35483.19
2016	35483.19
2017	35483.19
2018	35483.19
2019	35483.19
2020	35483.19
2021	35483.19
2022	35483.19
2023	35483.19
2024	35483.19
2025	35483.19
2026	35483.19
2027	35483.19
2028	35483.19
2029	35483.19
2030	35483.19
2031	35483.19
2032	35483.19
2033	35483.19
2034	35483.19
2035	35483.19
2036	35483.19
2037	35483.19
2038	35483.19
2039	35483.19
2040	35483.19
2041	35483.19
2042	35483.19
2043	35483.19
2044	35483.19
2045	35483.19
2046	35483.19
2047	35483.19
2048	35483.19
2049	35483.19
2050	35483.19
2051	35483.19
2052	35483.19
2053	35483.19
2054	35483.19
2055	35483.19
2056	35483.19
2057	35483.19
2058	35483.19
2059	35483.19
2060	35483.19
2061	35483.19
2062	35483.19
2063	35483.19
2064	35483.19
2065	35483.19
2066	35483.19
2067	35483.19
2068	35483.19
2069	35483.19
2070	35483.19
2071	35483.19
2072	35483.19
2073	35483.19
2074	35483.19
2075	35483.19
2076	35483.19
2077	35483.19
2078	35483.19
2079	35483.19
2080	35483.19
2081	35483.19
2082	35483.19
2083	35483.19
2084	35483.19
2085	35483.19
2086	35483.19
2087	35483.19
2088	35483.19
2089	35483.19
2090	35483.19
2091	35483.19
2092	35483.19
2093	35483.19
2094	35483.19
2095	35483.19
2096	35483.19
2097	35483.19
2098	35483.19
2099	35483.19
2100	35483.19
