* Excess real growth in medical costs, as an index starting in 1992. Real growth is 1.5% in 1992-2004, 1.5% in 2033, .9% in 2053, .3% in 2083, linearly extrapolated. Source: Not able to find high medical cost growth assumption, so added 0.5% to CBO, CMS and SSA assumptions on medical cost growth relative to GDP, and GDP relative to CPI	
1992	100
1993	101.5
1994	103.02
1995	104.57
1996	106.14
1997	107.73
1998	109.35
1999	110.99
2000	112.65
2001	114.34
2002	116.06
2003	117.8
2004	119.57
2005	121.3664901
2006	123.1898651
2007	125.0405258
2008	126.9188788
2009	128.825337
2010	130.760319
2011	132.7242501
2012	134.7175615
2013	136.740691
2014	138.7940829
2015	140.878188
2016	142.993464
2017	145.1403751
2018	147.3193926
2019	149.5309947
2020	151.7756667
2021	154.0539011
2022	156.3661978
2023	158.7130639
2024	161.0950143
2025	163.5125712
2026	165.9662649
2027	168.4566334
2028	170.9842226
2029	173.5495865
2030	176.1532875
2031	178.7958962
2032	181.4779917
2033	184.2001615
2034	186.9076694
2035	189.5986638
2036	192.2712807
2037	194.9236451
2038	197.5538733
2039	200.1600751
2040	202.7403559
2041	205.2928191
2042	207.8155681
2043	210.3067087
2044	212.7643515
2045	215.186614
2046	217.5716234
2047	219.9175183
2048	222.2224518
2049	224.4845933
2050	226.7021314
2051	228.8732758
2052	230.99626
2053	233.0693436
2054	235.1144183
2055	237.1304146
2056	239.1162712
2057	241.070935
2058	242.9933632
2059	244.8825231
2060	246.7373939
2061	248.556967
2062	250.3402472
2063	252.0862535
2064	253.7940202
2065	255.4625974
2066	257.0910522
2067	258.6784694
2068	260.2239525
2069	261.7266243
2070	263.185628
2071	264.6001279
2072	265.96931
2073	267.2923831
2074	268.5685795
2075	269.7971553
2076	270.9773919
2077	272.108596
2078	273.1901006
2079	274.2212657
2080	275.2014787
2081	276.1301552
2082	277.0067395
2083	277.8307053
2084	278.6015557
2085	279.3188247
2086	279.9820765
2087	280.5909068
2088	281.1449428
2089	281.6438438
2090	282.0873014
2091	282.4750397
2092	282.806816
2093	283.0824206
2094	283.3016773
2095	283.4644435
2096	283.5706103
2097	283.6201028
2098	283.6128798
2099	283.5489345
2100	283.4282938
