|The first line below is a list of variable names that define the cells for migration.  Each subsequent line has the variable values that define each cell followed by the net migration for that cell.  Entries can be space-delimited or tab-delimited.
age	male
51	0	2820.864750
52	0	2656.842750
53	0	2526.882750
54	0	2424.696750
55	0	2333.514750
56	0	2247.049500
57	0	2173.685250
58	0	2110.277250
59	0	2053.158000
60	0	2004.423000
61	0	1955.688000
62	0	1888.087500
63	0	1797.429750
64	0	1688.431500
65	0	1573.144500
66	0	1463.622000
67	0	1353.575250
68	0	1247.196750
69	0	1143.438000
70	0	1040.203500
71	0	938.017500
72	0	838.451250
73	0	740.457750
74	0	645.607500
75	0	553.902000
76	0	467.436750
77	0	394.072500
78	0	336.952500
79	0	293.457750
80	0	258.348000
81	0	225.333750
82	0	187.603500
83	0	144.108750
84	0	95.898000
51	1	2024.336250
52	1	1883.895750
53	1	1759.176000
54	1	1649.652750
55	1	1546.942500
56	1	1451.568750
57	1	1376.632500
58	1	1324.753500
59	1	1290.691500
60	1	1266.585750
61	1	1240.383750
62	1	1210.514250
63	1	1171.212000
64	1	1123.000500
65	1	1076.886000
66	1	1031.295000
67	1	976.272000
68	1	908.148000
69	1	832.163250
70	1	753.558000
71	1	677.049750
72	1	603.684750
73	1	534.513000
74	1	471.629250
75	1	407.697000
76	1	346.909500
77	1	294.506250
78	1	253.107750
79	1	219.045750
80	1	192.319500
81	1	166.642500
82	1	137.820750
83	1	104.806500
84	1	70.744500
