|Source: Census projections 2012-2060 and Census estimates 2000-2011. The first line below is a list of variable names that define the cells for migration.  Each subsequent line has the variable values that define each cell followed by the net migration for that cell.  Entries can be space-delimited or tab-delimited.
year	age	male
2000	25	0	25491.895
2000	26	0	25040.959
2000	27	0	24042.211
2000	28	0	22622.471
2000	29	0	21001.925
2000	30	0	19046.701
2000	31	0	17235.916
2000	32	0	15522.013
2000	33	0	13878.567
2000	34	0	12451.782
2000	35	0	11111.309
2000	36	0	10264.046
2000	37	0	9517.1855
2000	38	0	8712.1965
2000	39	0	8051.6477
2000	40	0	7185.0083
2000	41	0	6415.2484
2000	42	0	5687.7644
2000	43	0	5018.4083
2000	44	0	4641.4553
2000	45	0	4109.4934
2000	46	0	3695.5497
2000	47	0	3457.7521
2000	48	0	3100.175
2000	49	0	2830.6713
2000	50	0	2550.5987
2000	51	0	2606.9655
2000	52	0	2721.4605
2000	53	0	2511.8466
2000	54	0	2337.4616
2000	55	0	2265.2415
2000	56	0	2446.6722
2000	57	0	2610.4882
2000	58	0	2779.5888
2000	59	0	2887.038
2000	60	0	2786.6345
2000	61	0	2737.3139
2000	62	0	2540.0299
2000	63	0	2404.3972
2000	64	0	2397.3513
2000	65	0	2265.2415
2000	66	0	2133.1318
2000	67	0	1969.3158
2000	68	0	1823.1144
2000	69	0	1599.4085
2000	70	0	1354.5651
2000	71	0	1426.7852
2000	72	0	1417.9778
2000	73	0	1174.8959
2000	74	0	1051.5935
2000	75	0	875.44714
2000	76	0	679.92475
2000	77	0	584.80575
2000	78	0	512.58576
2000	79	0	431.55845
2000	80	0	271.26533
2000	81	0	236.03605
2000	82	0	239.55899
2000	83	0	151.48583
2000	84	0	79.265841
2000	85	0	-86.311694
2000	25	1	26990.899
2000	26	1	25749.069
2000	27	1	24220.119
2000	28	1	22552.012
2000	29	1	21241.484
2000	30	1	19182.334
2000	31	1	17383.88
2000	32	1	15955.333
2000	33	1	14144.548
2000	34	1	12661.397
2000	35	1	10869.989
2000	36	1	9608.7814
2000	37	1	8876.0125
2000	38	1	7882.5475
2000	39	1	7329.4479
2000	40	1	6505.0831
2000	41	1	5744.1311
2000	42	1	5162.8485
2000	43	1	4308.5388
2000	44	1	3947.4389
2000	45	1	3512.3574
2000	46	1	3186.4869
2000	47	1	3020.9094
2000	48	1	2672.1395
2000	49	1	2497.7547
2000	50	1	2141.9392
2000	51	1	1814.307
2000	52	1	1699.8119
2000	53	1	1557.1334
2000	54	1	1282.3451
2000	55	1	951.19013
2000	56	1	984.6579
2000	57	1	1146.7125
2000	58	1	1176.6573
2000	59	1	1111.4832
2000	60	1	861.35546
2000	61	1	750.38333
2000	62	1	856.07105
2000	63	1	915.96084
2000	64	1	1178.4189
2000	65	1	1240.0701
2000	66	1	1234.7857
2000	67	1	1305.2441
2000	68	1	1238.3086
2000	69	1	1190.7491
2000	70	1	1046.3091
2000	71	1	1056.8779
2000	72	1	1042.7862
2000	73	1	901.86915
2000	74	1	771.52086
2000	75	1	590.09015
2000	76	1	503.77844
2000	77	1	472.0721
2000	78	1	380.47603
2000	79	1	302.97166
2000	80	1	220.18289
2000	81	1	151.48583
2000	82	1	112.73364
2000	83	1	93.357546
2000	84	1	105.68779
2000	85	1	-19.376095
2001	25	0	23967.278
2001	26	0	23543.311
2001	27	0	22604.296
2001	28	0	21269.467
2001	29	0	19745.843
2001	30	0	17907.557
2001	31	0	16205.072
2001	32	0	14593.674
2001	33	0	13048.519
2001	34	0	11707.067
2001	35	0	10446.764
2001	36	0	9650.1745
2001	37	0	8947.9822
2001	38	0	8191.138
2001	39	0	7570.0952
2001	40	0	6755.2877
2001	41	0	6031.5656
2001	42	0	5347.5909
2001	43	0	4718.2676
2001	44	0	4363.8594
2001	45	0	3863.713
2001	46	0	3474.5265
2001	47	0	3250.9511
2001	48	0	2914.7599
2001	49	0	2661.3746
2001	50	0	2398.0527
2001	51	0	2451.0482
2001	52	0	2558.6956
2001	53	0	2361.6182
2001	54	0	2197.6629
2001	55	0	2129.7621
2001	56	0	2300.3418
2001	57	0	2454.3603
2001	58	0	2613.3473
2001	59	0	2714.3702
2001	60	0	2619.9717
2001	61	0	2573.6007
2001	62	0	2388.116
2001	63	0	2260.5951
2001	64	0	2253.9706
2001	65	0	2129.7621
2001	66	0	2005.5536
2001	67	0	1851.5351
2001	68	0	1714.0777
2001	69	0	1503.7511
2001	70	0	1273.5513
2001	71	0	1341.4521
2001	72	0	1333.1714
2001	73	0	1104.6278
2001	74	0	988.69988
