| SSA mortality rate adjustment factor starting in 2004. This is meant to be used with 2004 HRS stock population. Based on SSA mortality projections file SSA2013VA1_high.dta. SSA file is interpolated through 2090, then extended using GLM with log link through 2150.
l2age65pd	year
0	1990	1.2312607
0	1991	1.2212095
0	1992	1.2111584
0	1993	1.2011073
0	1994	1.1910561
0	1995	1.181005
0	1996	1.133305
0	1997	1.0800681
0	1998	1.0515332
0	1999	1.0434412
0	2000	1.0366269
0	2001	1.0366269
0	2002	1.0332198
0	2003	1.0272572
0	2004	1
0	2005	1.004685
0	2006	.9940374
0	2007	.9723169
0	2008	.95954
0	2009	.947189
0	2010	.9488927
0	2011	.9408007
0	2012	.9327087
0	2013	.9210666
0	2014	.9056208
0	2015	.8888416
0	2016	.8727461
0	2017	.8575377
0	2018	.8429666
0	2019	.8287827
0	2020	.8147359
0	2021	.8006331
0	2022	.7865072
0	2023	.7724482
0	2024	.7585456
0	2025	.7448893
0	2026	.7315494
0	2027	.7185183
0	2028	.7057687
0	2029	.6932733
0	2030	.6810051
0	2031	.6689443
0	2032	.6571026
0	2033	.6454991
0	2034	.634153
0	2035	.6230835
0	2036	.6123017
0	2037	.6017867
0	2038	.5915092
0	2039	.5814401
0	2040	.5715503
0	2041	.5618179
0	2042	.5522514
0	2043	.5428661
0	2044	.5336778
0	2045	.5247018
0	2046	.5159493
0	2047	.5074121
0	2048	.4990773
0	2049	.4909323
0	2050	.4829642
0	2051	.4751615
0	2052	.4675175
0	2053	.4600271
0	2054	.4526848
0	2055	.4454855
0	2056	.4384235
0	2057	.4314922
0	2058	.4246848
0	2059	.4179943
0	2060	.411414
0	2061	.40494
0	2062	.3985817
0	2063	.3923513
0	2064	.3862612
0	2065	.3803237
0	2066	.3745454
0	2067	.36891
0	2068	.3633955
0	2069	.3579797
0	2070	.3526405
0	2071	.3473621
0	2072	.3421529
0	2073	.3370275
0	2074	.3320007
0	2075	.3270869
0	2076	.3222958
0	2077	.3176164
0	2078	.3130327
0	2079	.3085288
0	2080	.3040886
0	2081	.2997002
0	2082	.295368
0	2083	.2911005
0	2084	.2869063
0	2085	.2827939
0	2086	.2787673
0	2087	.274813
0	2088	.2709128
0	2089	.2670487
0	2090	.2632027
0	2091	.2550209
0	2092	.2510663
0	2093	.247173
0	2094	.24334
0	2095	.2395665
0	2096	.2358515
0	2097	.2321942
0	2098	.2285935
0	2099	.2250487
0	2100	.2215588
0	2101	.218123
0	2102	.2147406
0	2103	.2114106
0	2104	.2081322
0	2105	.2049047
0	2106	.2017272
0	2107	.198599
0	2108	.1955193
0	2109	.1924873
0	2110	.1895024
0	2111	.1865638
0	2112	.1836707
0	2113	.1808225
0	2114	.1780185
0	2115	.1752579
0	2116	.1725402
0	2117	.1698646
0	2118	.1672304
0	2119	.1646372
0	2120	.1620841
0	2121	.1595707
0	2122	.1570962
0	2123	.1546601
0	2124	.1522617
0	2125	.1499006
0	2126	.1475761
0	2127	.1452876
0	2128	.1430346
0	2129	.1408165
0	2130	.1386329
0	2131	.1364831
0	2132	.1343666
0	2133	.132283
0	2134	.1302316
0	2135	.1282121
0	2136	.1262239
0	2137	.1242665
0	2138	.1223395
0	2139	.1204424
0	2140	.1185747
0	2141	.1167359
0	2142	.1149257
0	2143	.1131435
0	2144	.111389
0	2145	.1096617
0	2146	.1079611
0	2147	.106287
0	2148	.1046388
0	2149	.1030161
0	2150	.1014186
1	1990	1.1033275
1	1991	1.1011577
1	1992	1.098988
1	1993	1.0968182
1	1994	1.0946484
1	1995	1.0924786
1	1996	1.0863458
1	1997	1.0793223
1	1998	1.0778449
1	1999	1.0904546
1	2000	1.0784723
1	2001	1.0647898
1	2002	1.0599117
1	2003	1.0420192
1	2004	1
1	2005	1.001761
1	2006	.9682022
1	2007	.9468688
1	2008	.9505121
1	2009	.9102538
1	2010	.9098895
1	2011	.8936161
1	2012	.8794478
1	2013	.8623098
1	2014	.8411345
