| SSA mortality rate adjustment factor starting in 2004. This is meant to be used with 2004 HRS stock population. Based on SSA mortality projections file SSA2013VA1_low.dta. SSA file is interpolated through 2090, then extended using GLM with log link through 2150.
l2age65pd	year
0	1990	1.2312607
0	1991	1.2212095
0	1992	1.2111584
0	1993	1.2011073
0	1994	1.1910561
0	1995	1.181005
0	1996	1.133305
0	1997	1.0800681
0	1998	1.0515332
0	1999	1.0434412
0	2000	1.0366269
0	2001	1.0366269
0	2002	1.0332198
0	2003	1.0272572
0	2004	1
0	2005	1.004685
0	2006	.9940374
0	2007	.9723169
0	2008	.95954
0	2009	.947189
0	2010	.9488927
0	2011	.9408007
0	2012	.9327087
0	2013	.9293482
0	2014	.9288625
0	2015	.9288756
0	2016	.9274769
0	2017	.9246163
0	2018	.9207089
0	2019	.9161697
0	2020	.911414
0	2021	.9067761
0	2022	.9022683
0	2023	.8978223
0	2024	.8933694
0	2025	.8888416
0	2026	.8841886
0	2027	.8794346
0	2028	.8746222
0	2029	.8697936
0	2030	.8649915
0	2031	.860248
0	2032	.8555535
0	2033	.8508885
0	2034	.846233
0	2035	.8415673
0	2036	.8368776
0	2037	.8321741
0	2038	.827473
0	2039	.8227906
0	2040	.8181431
0	2041	.8135434
0	2042	.8089905
0	2043	.8044803
0	2044	.8000084
0	2045	.7955707
0	2046	.7911637
0	2047	.7867874
0	2048	.7824425
0	2049	.7781298
0	2050	.7738501
0	2051	.7696042
0	2052	.7653931
0	2053	.7612182
0	2054	.7570806
0	2055	.7529812
0	2056	.7489204
0	2057	.7448938
0	2058	.7408957
0	2059	.7369211
0	2060	.7329642
0	2061	.7290207
0	2062	.7250898
0	2063	.7211714
0	2064	.7172659
0	2065	.7133731
0	2066	.7094941
0	2067	.7056329
0	2068	.7017949
0	2069	.6979848
0	2070	.6942078
0	2071	.6904681
0	2072	.6867667
0	2073	.6831039
0	2074	.6794797
0	2075	.6758944
0	2076	.6723471
0	2077	.6688331
0	2078	.6653466
0	2079	.6618817
0	2080	.6584327
0	2081	.6549951
0	2082	.6515701
0	2083	.6481603
0	2084	.6447684
0	2085	.6413969
0	2086	.6380473
0	2087	.6347161
0	2088	.6313987
0	2089	.6280906
0	2090	.624787
0	2091	.6203728
0	2092	.6170341
0	2093	.6137136
0	2094	.6104107
0	2095	.6071257
0	2096	.6038584
0	2097	.6006086
0	2098	.5973764
0	2099	.5941615
0	2100	.5909639
0	2101	.5877836
0	2102	.5846203
0	2103	.5814741
0	2104	.5783448
0	2105	.5752324
0	2106	.5721366
0	2107	.5690576
0	2108	.5659952
0	2109	.5629492
0	2110	.5599196
0	2111	.5569062
0	2112	.5539092
0	2113	.5509282
0	2114	.5479633
0	2115	.5450144
0	2116	.5420813
0	2117	.539164
0	2118	.5362624
0	2119	.5333764
0	2120	.530506
0	2121	.527651
0	2122	.5248113
0	2123	.521987
0	2124	.5191779
0	2125	.5163838
0	2126	.5136048
0	2127	.5108408
0	2128	.5080916
0	2129	.5053572
0	2130	.5026376
0	2131	.4999326
0	2132	.4972421
0	2133	.4945661
0	2134	.4919045
0	2135	.4892572
0	2136	.4866242
0	2137	.4840054
0	2138	.4814007
0	2139	.4788099
0	2140	.4762331
0	2141	.4736702
0	2142	.4711211
0	2143	.4685857
0	2144	.4660639
0	2145	.4635557
0	2146	.461061
0	2147	.4585797
0	2148	.4561118
0	2149	.4536572
0	2150	.4512158
1	1990	1.1033275
1	1991	1.1011577
1	1992	1.098988
1	1993	1.0968182
1	1994	1.0946484
1	1995	1.0924786
1	1996	1.0863458
1	1997	1.0793223
1	1998	1.0778449
1	1999	1.0904546
1	2000	1.0784723
1	2001	1.0647898
1	2002	1.0599117
1	2003	1.0420192
1	2004	1
1	2005	1.001761
1	2006	.9682022
1	2007	.9468688
1	2008	.9505121
1	2009	.9102538
1	2010	.9098895
1	2011	.8936161
1	2012	.8794478
1	2013	.8724089
1	2014	.8690738
