* Thresholds for Part B premium sharing are given in nominal dollars, not constant dollars	
* Since the FEM uses constant 2010 dollars, we need to deflate thresholds after 2010	
* SInce we've just got one year for thresholds, we'll inflate them before 2010	
* Average urban CPI was 2.56% from 2000 to 2009, so that's what we use	
1990	265265.17
1991	258643.88
1992	252187.87
1993	245893.01
1994	239755.28
1995	233770.75
1996	227935.6
1997	222246.1
1998	216698.61
1999	211289.6
2000	206015.6
2001	200873.24
2002	195859.25
2003	190970.4
2004	186203.59
2005	181555.76
2006	177023.95
2007	172605.26
2008	168296.86
2009	164096
2010	160000
2011	155888
2012	151881.68
2013	147978.32
2014	144175.28
2015	140469.97
2016	136859.89
2017	133342.59
2018	129915.69
2019	126576.86
2020	123323.83
2021	120154.41
2022	117066.44
2023	114057.83
2024	111126.55
2025	108270.59
2026	105488.04
2027	102777
2028	100135.63
2029	97562.14
2030	95054.8
2031	92611.89
2032	90231.76
2033	87912.81
2034	85653.45
2035	83452.15
2036	81307.43
2037	79217.83
2038	77181.93
2039	75198.36
2040	73265.76
2041	71382.83
2042	69548.29
2043	67760.9
2044	66019.45
2045	64322.75
2046	62669.65
2047	61059.04
2048	59489.82
2049	57960.93
2050	56471.34
2051	55020.03
2052	53606.01
2053	52228.34
2054	50886.07
2055	49578.3
2056	48304.13
2057	47062.72
2058	45853.21
2059	44674.78
2060	43526.64
2061	42408
2062	41318.12
2063	40256.24
2064	39221.66
2065	38213.66
2066	37231.57
2067	36274.72
2068	35342.46
2069	34434.16
2070	33549.2
2071	32686.98
2072	31846.93
2073	31028.46
2074	30231.03
2075	29454.09
2076	28697.12
2077	27959.61
2078	27241.04
2079	26540.95
2080	25858.85
2081	25194.27
2082	24546.78
2083	23915.93
2084	23301.29
2085	22702.45
2086	22118.99
2087	21550.54
2088	20996.69
2089	20457.07
2090	19931.33
2091	19419.09
2092	18920.02
2093	18433.78
2094	17960.03
2095	17498.45
2096	17048.74
2097	16610.59
2098	16183.7
2099	15767.78
2100	15362.55
