* Thresholds for Part B premium sharing are given in nominal dollars, not constant dollars	
* Since the FEM uses constant 2010 dollars, we need to deflate thresholds after 2010	
* SInce we've just got one year for thresholds, we'll inflate them before 2010	
* Average urban CPI was 2.56% from 2000 to 2009, so that's what we use	
1990	354792.16
1991	345936.2
1992	337301.28
1993	328881.91
1994	320672.68
1995	312668.37
1996	304863.86
1997	297254.15
1998	289834.39
1999	282599.84
2000	275545.86
2001	268667.96
2002	261961.74
2003	255422.92
2004	249047.3
2005	242830.84
2006	236769.54
2007	230859.53
2008	225097.05
2009	219478.4
2010	214000
2011	208500.2
2012	203141.74
2013	197921
2014	192834.43
2015	187878.59
2016	183050.11
2017	178345.72
2018	173762.23
2019	169296.55
2020	164945.62
2021	160706.52
2022	156576.36
2023	152552.35
2024	148631.76
2025	144811.92
2026	141090.25
2027	137464.23
2028	133931.4
2029	130489.37
2030	127135.79
2031	123868.4
2032	120684.98
2033	117583.38
2034	114561.49
2035	111617.25
2036	108748.69
2037	105953.85
2038	103230.84
2039	100577.8
2040	97992.95
2041	95474.54
2042	93020.84
2043	90630.2
2044	88301.01
2045	86031.67
2046	83820.66
2047	81666.47
2048	79567.64
2049	77522.75
2050	75530.42
2051	73589.28
2052	71698.04
2053	69855.4
2054	68060.12
2055	66310.97
2056	64606.78
2057	62946.38
2058	61328.66
2059	59752.52
2060	58216.88
2061	56720.7
2062	55262.98
2063	53842.72
2064	52458.96
2065	51110.77
2066	49797.22
2067	48517.43
2068	47270.54
2069	46055.68
2070	44872.05
2071	43718.84
2072	42595.27
2073	41500.57
2074	40434
2075	39394.85
2076	38382.4
2077	37395.97
2078	36434.9
2079	35498.52
2080	34586.21
2081	33697.34
2082	32831.32
2083	31987.56
2084	31165.48
2085	30364.52
2086	29584.15
2087	28823.84
2088	28083.07
2089	27361.33
2090	26658.15
2091	25973.03
2092	25305.53
2093	24655.17
2094	24021.54
2095	23404.18
2096	22802.7
2097	22216.67
2098	21645.7
2099	21089.4
2100	20547.41
