* Thresholds for Part B premium sharing are given in nominal dollars, not constant dollars	
* Since the FEM uses constant 2010 dollars, we need to deflate thresholds after 2010	
* SInce we've just got one year for thresholds, we'll inflate them before 2010	
* Average urban CPI was 2.56% from 2000 to 2009, so that's what we use	
1990	177396.08
1991	172968.1
1992	168650.64
1993	164440.95
1994	160336.34
1995	156334.19
1996	152431.93
1997	148627.08
1998	144917.2
1999	141299.92
2000	137772.93
2001	134333.98
2002	130980.87
2003	127711.46
2004	124523.65
2005	121415.42
2006	118384.77
2007	115429.77
2008	112548.52
2009	109739.2
2010	107000
2011	104250.1
2012	101570.87
2013	98960.5
2014	96417.22
2015	93939.29
2016	91525.05
2017	89172.86
2018	86881.12
2019	84648.27
2020	82472.81
2021	80353.26
2022	78288.18
2023	76276.18
2024	74315.88
2025	72405.96
2026	70545.13
2027	68732.12
2028	66965.7
2029	65244.68
2030	63567.89
2031	61934.2
2032	60342.49
2033	58791.69
2034	57280.74
2035	55808.63
2036	54374.35
2037	52976.93
2038	51615.42
2039	50288.9
2040	48996.48
2041	47737.27
2042	46510.42
2043	45315.1
2044	44150.5
2045	43015.84
2046	41910.33
2047	40833.23
2048	39783.82
2049	38761.38
2050	37765.21
2051	36794.64
2052	35849.02
2053	34927.7
2054	34030.06
2055	33155.49
2056	32303.39
2057	31473.19
2058	30664.33
2059	29876.26
2060	29108.44
2061	28360.35
2062	27631.49
2063	26921.36
2064	26229.48
2065	25555.38
2066	24898.61
2067	24258.72
2068	23635.27
2069	23027.84
2070	22436.03
2071	21859.42
2072	21297.63
2073	20750.28
2074	20217
2075	19697.42
2076	19191.2
2077	18697.99
2078	18217.45
2079	17749.26
2080	17293.1
2081	16848.67
2082	16415.66
2083	15993.78
2084	15582.74
2085	15182.26
2086	14792.08
2087	14411.92
2088	14041.53
2089	13680.67
2090	13329.07
2091	12986.52
2092	12652.76
2093	12327.59
2094	12010.77
2095	11702.09
2096	11401.35
2097	11108.33
2098	10822.85
2099	10544.7
2100	10273.7
