|Source: Census projections from 2012_Pop_Projection/NP2012_D4.csv for ages over 25
year	age	male	hispan
2004	25	0	0	7771
2004	26	0	0	7821
2004	27	0	0	7621
2004	28	0	0	7191
2004	29	0	0	6584
2004	30	0	0	5775
2004	31	0	0	5118
2004	32	0	0	4579
2004	33	0	0	4084
2004	34	0	0	3727
2004	35	0	0	3289
2004	36	0	0	3039
2004	37	0	0	2845
2004	38	0	0	2692
2004	39	0	0	2554
2004	40	0	0	2302
2004	41	0	0	2087
2004	42	0	0	1860
2004	43	0	0	1685
2004	44	0	0	1563
2004	45	0	0	1325
2004	46	0	0	1187
2004	47	0	0	1091
2004	48	0	0	1001
2004	49	0	0	976
2004	50	0	0	884
2004	51	0	0	894
2004	52	0	0	912
2004	53	0	0	822
2004	54	0	0	766
2004	55	0	0	718
2004	56	0	0	786
2004	57	0	0	897
2004	58	0	0	906
2004	59	0	0	994
2004	60	0	0	1013
2004	61	0	0	967
2004	62	0	0	943
2004	63	0	0	905
2004	64	0	0	892
2004	65	0	0	891
2004	66	0	0	884
2004	67	0	0	880
2004	68	0	0	861
2004	69	0	0	731
2004	70	0	0	535
2004	71	0	0	600
2004	72	0	0	631
2004	73	0	0	519
2004	74	0	0	477
2004	75	0	0	411
2004	76	0	0	337
2004	77	0	0	248
2004	78	0	0	225
2004	79	0	0	211
2004	80	0	0	129
2004	81	0	0	117
2004	82	0	0	140
2004	83	0	0	94
2004	84	0	0	45
2004	85	0	0	228
2004	25	0	1	2757
2004	26	0	1	2531
2004	27	0	1	2332
2004	28	0	1	2188
2004	29	0	1	2139
2004	30	0	1	2030
2004	31	0	1	1915
2004	32	0	1	1785
2004	33	0	1	1611
2004	34	0	1	1414
2004	35	0	1	1195
2004	36	0	1	1092
2004	37	0	1	990
2004	38	0	1	830
2004	39	0	1	729
2004	40	0	1	657
2004	41	0	1	611
2004	42	0	1	569
2004	43	0	1	492
2004	44	0	1	584
2004	45	0	1	568
2004	46	0	1	519
2004	47	0	1	576
2004	48	0	1	527
2004	49	0	1	511
2004	50	0	1	428
2004	51	0	1	434
2004	52	0	1	537
2004	53	0	1	468
2004	54	0	1	505
2004	55	0	1	480
2004	56	0	1	499
2004	57	0	1	529
2004	58	0	1	608
2004	59	0	1	589
2004	60	0	1	505
2004	61	0	1	531
2004	62	0	1	443
2004	63	0	1	436
2004	64	0	1	517
2004	65	0	1	499
2004	66	0	1	471
2004	67	0	1	438
2004	68	0	1	366
2004	69	0	1	345
2004	70	0	1	354
2004	71	0	1	338
2004	72	0	1	342
2004	73	0	1	276
2004	74	0	1	256
2004	75	0	1	198
2004	76	0	1	169
2004	77	0	1	180
2004	78	0	1	178
2004	79	0	1	178
2004	80	0	1	137
2004	81	0	1	153
2004	82	0	1	148
2004	83	0	1	128
2004	84	0	1	120
2004	85	0	1	827
2004	25	1	0	6714
2004	26	1	0	6642
2004	27	1	0	6342
2004	28	1	0	6029
2004	29	1	0	5724
2004	30	1	0	5249
2004	31	1	0	4830
2004	32	1	0	4478
2004	33	1	0	3988
2004	34	1	0	3556
2004	35	1	0	3085
2004	36	1	0	2704
2004	37	1	0	2491
2004	38	1	0	2262
2004	39	1	0	2127
2004	40	1	0	1914
2004	41	1	0	1733
2004	42	1	0	1584
2004	43	1	0	1397
2004	44	1	0	1277
2004	45	1	0	1131
2004	46	1	0	1056
2004	47	1	0	987
2004	48	1	0	873
2004	49	1	0	852
2004	50	1	0	700
2004	51	1	0	606
2004	52	1	0	614
2004	53	1	0	556
2004	54	1	0	515
2004	55	1	0	476
2004	56	1	0	461
2004	57	1	0	501
2004	58	1	0	507
2004	59	1	0	525
2004	60	1	0	393
2004	61	1	0	299
2004	62	1	0	366
2004	63	1	0	410
2004	64	1	0	573
2004	65	1	0	641
2004	66	1	0	689
2004	67	1	0	766
2004	68	1	0	698
2004	69	1	0	684
2004	70	1	0	593
2004	71	1	0	590
2004	72	1	0	598
2004	73	1	0	509
2004	74	1	0	452
2004	75	1	0	358
2004	76	1	0	283
2004	77	1	0	274
2004	78	1	0	243
2004	79	1	0	195
2004	80	1	0	144
2004	81	1	0	106
2004	82	1	0	100
2004	83	1	0	66
2004	84	1	0	61
2004	85	1	0	186
2004	25	1	1	4097
2004	26	1	1	3784
2004	27	1	1	3544
2004	28	1	1	3246
2004	29	1	1	3103
2004	30	1	1	2481
2004	31	1	1	2159
2004	32	1	1	2180
2004	33	1	1	1914
2004	34	1	1	1776
2004	35	1	1	1310
2004	36	1	1	1095
2004	37	1	1	1228
2004	38	1	1	1013
2004	39	1	1	970
2004	40	1	1	787
2004	41	1	1	752
2004	42	1	1	875
2004	43	1	1	681
2004	44	1	1	788
2004	45	1	1	631
2004	46	1	1	473
2004	47	1	1	576
2004	48	1	1	524
2004	49	1	1	622
2004	50	1	1	556
2004	51	1	1	424
2004	52	1	1	447
2004	53	1	1	480
2004	54	1	1	389
2004	55	1	1	232
2004	56	1	1	242
2004	57	1	1	350
2004	58	1	1	377
2004	59	1	1	354
2004	60	1	1	304
2004	61	1	1	311
2004	62	1	1	352
2004	63	1	1	326
2004	64	1	1	368
2004	65	1	1	327
2004	66	1	1	260
2004	67	1	1	263
2004	68	1	1	245
2004	69	1	1	248
2004	70	1	1	209
2004	71	1	1	186
2004	72	1	1	186
2004	73	1	1	179
2004	74	1	1	186
2004	75	1	1	145
2004	76	1	1	131
2004	77	1	1	114
2004	78	1	1	101
2004	79	1	1	121
2004	80	1	1	109
2004	81	1	1	92
2004	82	1	1	92
2004	83	1	1	83
2004	84	1	1	111
2004	85	1	1	531
2005	25	0	0	8048
2005	26	0	0	8100
2005	27	0	0	7894
2005	28	0	0	7448
2005	29	0	0	6821
2005	30	0	0	5996
2005	31	0	0	5314
2005	32	0	0	4749
2005	33	0	0	4234
2005	34	0	0	3856
2005	35	0	0	3413
2005	36	0	0	3155
2005	37	0	0	2956
2005	38	0	0	2794
2005	39	0	0	2648
2005	40	0	0	2390
2005	41	0	0	2163
2005	42	0	0	1925
2005	43	0	0	1737
2005	44	0	0	1603
2005	45	0	0	1362
2005	46	0	0	1220
2005	47	0	0	1119
