| SSA mortality rate adjustment factor starting in 2009. This is meant to be used with 2009 PSID stock population. Based on SSA mortality projections file SSA2013VA1.dta
l2age67pd	year
0	1999	1
0	2000	1
0	2001	1
0	2002	1
0	2003	1
0	2004	1
0	2005	1
0	2006	1
0	2007	1
0	2008	1
1	1999	1
1	2000	1
1	2001	1
1	2002	1
1	2003	1
1	2004	1
1	2005	1
1	2006	1
1	2007	1
1	2008	1
0	2009	1
0	2010	1.00179862976074
0	2011	0.993255376815796
0	2012	0.984712243080139
0	2013	0.976468861103058
0	2014	0.968225419521332
0	2015	0.95998203754425
0	2016	0.950629532337189
0	2017	0.941276967525482
0	2018	0.931924521923065
0	2019	0.922572016716003
0	2020	0.913219451904297
0	2021	0.903597176074982
0	2022	0.893974900245667
0	2023	0.884352505207062
0	2024	0.874730229377747
0	2025	0.865107893943787
0	2026	0.855935275554657
0	2027	0.846762597560883
0	2028	0.837589919567108
0	2029	0.828417241573334
0	2030	0.819244623184204
0	2031	0.810521602630615
0	2032	0.801798522472382
0	2033	0.793075561523438
0	2034	0.784352540969849
0	2035	0.77562952041626
0	2036	0.767446041107178
0	2037	0.75926262140274
0	2038	0.751079142093658
0	2039	0.742895722389221
0	2040	0.734712243080139
0	2041	0.726978421211243
0	2042	0.719244599342346
0	2043	0.711510837078094
0	2044	0.703777015209198
0	2045	0.696043193340302
0	2046	0.688938856124878
0	2047	0.681834518909454
0	2048	0.674730241298676
0	2049	0.667625904083252
0	2050	0.660521566867828
0	2051	0.653776943683624
0	2052	0.647032380104065
0	2053	0.640287756919861
0	2054	0.633543133735657
0	2055	0.626798570156097
0	2056	0.620503604412079
0	2057	0.614208579063416
0	2058	0.607913672924042
0	2059	0.601618647575378
0	2060	0.595323741436005
0	2061	0.589478373527527
0	2062	0.583633124828339
0	2063	0.577787756919861
0	2064	0.571942448616028
0	2065	0.566097140312195
0	2066	0.560611546039581
0	2067	0.555125892162323
0	2068	0.549640297889709
0	2069	0.544154703617096
0	2070	0.538669109344482
0	2071	0.533453226089478
0	2072	0.528237462043762
0	2073	0.523021578788757
0	2074	0.517805814743042
0	2075	0.512589931488037
0	2076	0.507733821868896
0	2077	0.502877712249756
0	2078	0.498021602630615
0	2079	0.493165493011475
0	2080	0.488309353590012
0	2081	0.483723044395447
0	2082	0.47913670539856
0	2083	0.474550366401672
0	2084	0.469964027404785
0	2085	0.46537771821022
0	2086	0.461061179637909
0	2087	0.456744611263275
0	2088	0.452428042888641
0	2089	0.44811150431633
0	2090	0.443794965744019
0	2091	0.443794965744019
0	2092	0.443794965744019
0	2093	0.443794965744019
0	2094	0.443794965744019
0	2095	0.443794965744019
0	2096	0.443794965744019
0	2097	0.443794965744019
0	2098	0.443794965744019
0	2099	0.443794965744019
0	2100	0.443794965744019
0	2101	0.443794965744019
0	2102	0.443794965744019
0	2103	0.443794965744019
0	2104	0.443794965744019
0	2105	0.443794965744019
0	2106	0.443794965744019
0	2107	0.443794965744019
0	2108	0.443794965744019
0	2109	0.443794965744019
0	2110	0.443794965744019
0	2111	0.443794965744019
0	2112	0.443794965744019
0	2113	0.443794965744019
0	2114	0.443794965744019
0	2115	0.443794965744019
0	2116	0.443794965744019
0	2117	0.443794965744019
0	2118	0.443794965744019
0	2119	0.443794965744019
0	2120	0.443794965744019
0	2121	0.443794965744019
0	2122	0.443794965744019
0	2123	0.443794965744019
0	2124	0.443794965744019
0	2125	0.443794965744019
0	2126	0.443794965744019
0	2127	0.443794965744019
0	2128	0.443794965744019
0	2129	0.443794965744019
0	2130	0.443794965744019
0	2131	0.443794965744019
0	2132	0.443794965744019
0	2133	0.443794965744019
0	2134	0.443794965744019
0	2135	0.443794965744019
0	2136	0.443794965744019
0	2137	0.443794965744019
0	2138	0.443794965744019
0	2139	0.443794965744019
0	2140	0.443794965744019
0	2141	0.443794965744019
0	2142	0.443794965744019
0	2143	0.443794965744019
0	2144	0.443794965744019
0	2145	0.443794965744019
0	2146	0.443794965744019
0	2147	0.443794965744019
0	2148	0.443794965744019
0	2149	0.443794965744019
0	2150	0.443794965744019
1	2009	1
1	2010	0.999599695205688
1	2011	0.981721937656403
1	2012	0.966156661510468
1	2013	0.952992916107178
1	2014	0.939829230308533
1	2015	0.926665425300598
1	2016	0.91744190454483
1	2017	0.908218383789062
1	2018	0.898994863033295
1	2019	0.889771342277527
1	2020	0.880547881126404
1	2021	0.873187720775604
1	2022	0.865827620029449
1	2023	0.85846745967865
1	2024	0.851107358932495
1	2025	0.843747198581696
1	2026	0.837209820747375
1	2027	0.830672383308411
1	2028	0.824135005474091
1	2029	0.817597568035126
1	2030	0.811060190200806
1	2031	0.805038630962372
1	2032	0.799017131328583
1	2033	0.792995631694794
1	2034	0.786974132061005
1	2035	0.780952572822571
1	2036	0.775344669818878
1	2037	0.769736707210541
1	2038	0.764128744602203
1	2039	0.758520841598511
1	2040	0.752912878990173
1	2041	0.747656285762787
1	2042	0.7423996925354
1	2043	0.737143099308014
1	2044	0.731886446475983
1	2045	0.726629853248596
1	2046	0.721693515777588
1	2047	0.716757118701935
1	2048	0.711820662021637
1	2049	0.706884264945984
1	2050	0.701947867870331
1	2051	0.697300553321838
1	2052	0.692653179168701
1	2053	0.688005864620209
1	2054	0.683358490467072
1	2055	0.678711175918579
1	2056	0.674335122108459
1	2057	0.66995906829834
1	2058	0.66558301448822
1	2059	0.661206901073456
1	2060	0.656830847263336
1	2061	0.652699410915375
1	2062	0.648567974567413
1	2063	0.644436478614807
1	2064	0.640305042266846
1	2065	0.636173605918884
1	2066	0.632277846336365
1	2067	0.628382086753845
1	2068	0.624486327171326
1	2069	0.620590567588806
1	2070	0.616694808006287
1	2071	0.613003551959991
1	2072	0.609312415122986
1	2073	0.605621218681335
1	2074	0.60193008184433
1	2075	0.598238885402679
1	2076	0.59474778175354
1	2077	0.591256737709045
1	2078	0.587765634059906
1	2079	0.584274590015411
1	2080	0.580783545970917
1	2081	0.577470421791077
1	2082	0.574157178401947
1	2083	0.570844054222107
1	2084	0.567530810832977
1	2085	0.564217686653137
1	2086	0.561073541641235
1	2087	0.557929337024689
1	2088	0.554785192012787
1	2089	0.55164098739624
1	2090	0.548496782779694
1	2091	0.548496782779694
1	2092	0.548496782779694
1	2093	0.548496782779694
1	2094	0.548496782779694
1	2095	0.548496782779694
1	2096	0.548496782779694
1	2097	0.548496782779694
1	2098	0.548496782779694
1	2099	0.548496782779694
1	2100	0.548496782779694
1	2101	0.548496782779694
1	2102	0.548496782779694
1	2103	0.548496782779694
1	2104	0.548496782779694
1	2105	0.548496782779694
1	2106	0.548496782779694
1	2107	0.548496782779694
1	2108	0.548496782779694
1	2109	0.548496782779694
1	2110	0.548496782779694
1	2111	0.548496782779694
1	2112	0.548496782779694
1	2113	0.548496782779694
1	2114	0.548496782779694
1	2115	0.548496782779694
1	2116	0.548496782779694
1	2117	0.548496782779694
1	2118	0.548496782779694
1	2119	0.548496782779694
1	2120	0.548496782779694
1	2121	0.548496782779694
1	2122	0.548496782779694
1	2123	0.548496782779694
1	2124	0.548496782779694
1	2125	0.548496782779694
1	2126	0.548496782779694
1	2127	0.548496782779694
1	2128	0.548496782779694
1	2129	0.548496782779694
1	2130	0.548496782779694
1	2131	0.548496782779694
1	2132	0.548496782779694
1	2133	0.548496782779694
1	2134	0.548496782779694
1	2135	0.548496782779694
1	2136	0.548496782779694
1	2137	0.548496782779694
1	2138	0.548496782779694
1	2139	0.548496782779694
1	2140	0.548496782779694
1	2141	0.548496782779694
1	2142	0.548496782779694
1	2143	0.548496782779694
1	2144	0.548496782779694
1	2145	0.548496782779694
1	2146	0.548496782779694
1	2147	0.548496782779694
1	2148	0.548496782779694
1	2149	0.548496782779694
1	2150	0.548496782779694
