| Label,Description,Variable,Summary Type,Factor,Weight,Condition
pop_medicare,Medicare Pop (Millions),weight,sum,0.000001,1,ldied == 0 & medicare_elig
pop_medicare_age,Age Elig Medicare Pop (Millions),weight,sum,0.000001,1,ldied == 0 & age >= medicare_elig_age(year)
pop_medicare_di,DI Elig Medicare Pop (Millions),weight,sum,0.000001,1,ldied == 0 & diclaim2yr
any_medicare_enroll,Medicare Enrollment (Millions),weight,sum,0.000001,1,ldied == 0 & (mcare_pta_enroll==1 | mcare_ptb_enroll==1 | mcare_ptd_enroll==1)
start_pop,Total population (million),weight,sum,0.000001,1,ldied == 0
end_pop,Total population (million),weight,sum,0.000001,1,died == 0
death_rate,Percent Died,died,mean,100,weight,ldied == 0
pop_healthy,Population that is healthy (no IADLs or ADLs and not in a nursing home) (millions),weight,sum,0.000001,1,iadl1 ==0 & adl1 == 0 & adl2==0 & adl3p == 0 & nhmliv == 0 & died == 0
start_pop65p,Total population 65+ (million),weight,sum,0.000001,1,ldied == 0 & age >= 65
end_pop65p,Total population 65+ (million),weight,sum,0.000001,1,died == 0 & age >= 65
start_pop75p,Total population 75+ (million),weight,sum,0.000001,1,ldied == 0 & age >= 75
end_pop75p,Total population 75+ (million),weight,sum,0.000001,1,died == 0 & age >= 75
pop_disability,Population that is disabled (any IADLs or ADLs or Nursing Home) (millions),weight,sum,0.000001,1,not(iadl1 ==0 & adl1 == 0 & adl2==0 & adl3p == 0 & nhmliv == 0) & died == 0
pop_nhm,Population that is in a nursing home,weight,sum,0.000001,1,nhmliv == 1 & died == 0
nhmliv,Prevelance of In a Nursing Home,nhmliv,mean,1,weight,died == 0
died,Mortality rate,died,mean,1,weight,ldied == 0 
totmd,Average Total Medical Costs,totmd,mean,1,weight,ldied == 0
ttl_totmd,Total Medical Costs (billions),totmd,sum,0.000000001,weight,ldied == 0
ttl_totmd_6566,Total Medical Costs for Ages 65 and 66 (Billions),totmd,sum,0.000000001,weight,ldied == 0 & age >= 65 & age < 67
ttl_totmd_mcare,Total Medical Costs for Medicare Eligible (Billions),totmd,sum,0.00000001,weight,ldied==0 & medicare_elig==1
ttl_uncovered_upper_mcare,Upper Bound on Total Uncovered Medical Costs for Medicare Eligible (Billions),uncovered_upper,sum,0.000000001,weight,ldied==0 & medicare_elig==1
ttl_uncovered_lower_mcare,Lower Bound on Total Uncovered Medical Costs for Medicare Eligible (Billions),uncovered_lower,sum,0.000000001,weight,ldied==0 & medicare_elig==1
mcare_enrollee,Medicare Costs Per Enrollee,mcare,mean,1,weight,ldied==0 & (mcare_pta_enroll==1 | mcare_ptb_enroll==1 | mcare_ptd_enroll==1)
mcare_pta_enrollee,Part A Medicare Costs Per Enrollee,mcare_pta,mean,1,weight,ldied==0 & (mcare_pta_enroll==1 | mcare_ptb_enroll==1 | mcare_ptd_enroll==1)
mcare_ptb_enrollee,Part B Medicare Costs Per Enrollee,mcare_ptb,mean,1,weight,ldied==0 & (mcare_pta_enroll==1 | mcare_ptb_enroll==1 | mcare_ptd_enroll==1)
mcare_ptd_enrollee,Part D Medicare Costs Per Enrollee,mcare_ptd,mean,1,weight,ldied==0 & (mcare_pta_enroll==1 | mcare_ptb_enroll==1 | mcare_ptd_enroll==1)
mcare_pta,Average Medicare Part A Costs,mcare_pta,mean,1,weight,ldied == 0 & mcare_pta_enroll == 1
mcare_ptb,Average Medicare Part B Costs,mcare_ptb,mean,1,weight,ldied == 0 & mcare_ptb_enroll == 1
mcare_pta_enroll,Fraction enrolled in Medicare Part A,mcare_pta_enroll,mean,1,weight,ldied==0 & medicare_elig==1
ttl_mcare_pta_enroll,Population enrolled in Medicare (Millions),mcare_pta_enroll,sum,.000001,weight, ldied == 0
ttl_mcare_pta_enroll5564,Population in Part A Ages 55-64,mcare_pta_enroll,sum,0.000001,weight, ldied==0 & 55 <= age & age < 65
ttl_mcare_pta_enroll6569,Population in Part A Ages 65-69,mcare_pta_enroll,sum,0.000001,weight, ldied==0 & 65 <= age & age < 70
ttl_mcare_pta_enroll7074,Population in Part A Ages 70-74,mcare_pta_enroll,sum,0.000001,weight, ldied==0 & 70 <= age & age < 74
ttl_mcare_pta_enroll7579,Population in Part A Ages 75-79,mcare_pta_enroll,sum,0.000001,weight, ldied==0 & 75 <= age & age < 80
ttl_mcare_pta_enroll80pp,Population in Part A Ages 80+,  mcare_pta_enroll,sum,0.000001,weight, ldied==0 & 80 <= age
mcare_ptb_enroll,Fraction enrolled in Medicare Part B,mcare_ptb_enroll,mean,1,weight, ldied == 0 & medicare_elig == 1
mcare_ptb_enroll5564,Fraction enrolled in Medicare Part B Ages 55-64,mcare_ptb_enroll,mean,1,weight, ldied == 0 & medicare_elig == 1 & age < 65
mcare_ptb_enroll6569,Fraction enrolled in Medicare Part B Ages 65-69,mcare_ptb_enroll,mean,1,weight, ldied == 0 & medicare_elig == 1 & 65 <= age & age < 70
mcare_ptb_enroll7074,Fraction enrolled in Medicare Part B Ages 70-74,mcare_ptb_enroll,mean,1,weight, ldied == 0 & medicare_elig == 1 & 70 <= age & age < 75
mcare_ptb_enroll7579,Fraction enrolled in Medicare Part B Ages 75-79,mcare_ptb_enroll,mean,1,weight, ldied == 0 & medicare_elig == 1 & 75 <= age & age < 80
mcare_ptb_enroll80pp,Fraction enrolled in Medicare Part B Ages 80+,mcare_ptb_enroll,mean,1,weight, ldied == 0 & medicare_elig == 1 & 80 <= age
ttl_mcare_ptb_enroll,Number People enrolled in Medicare Part B (Millions),mcare_ptb_enroll,sum,0.000001,weight, ldied == 0
ttl_mcare,Total Medicare Costs (billions),mcare,sum,0.000000001,weight,ldied == 0
ttl_mcare_65p,Total Medicare Costs (billions) age 65+,mcare,sum,0.000000001,weight,ldied == 0 & age >=65
ttl_mcare_pta,Total Medicare Part A Costs (billions),mcare_pta,sum,0.000000001,weight,ldied == 0
ttl_mcare_ptb,Total Medicare Part B Costs (billions),mcare_ptb,sum,0.000000001,weight,ldied == 0
mcare_ptd,Average Medicare Part D Costs,mcare_ptd,mean,1,weight,ldied == 0 & mcare_ptd_enroll == 1
ttl_mcare_ptd,Total Medicare Part D Costs (billions),mcare_ptd,sum,0.000000001,weight,ldied == 0 & mcare_ptd_enroll == 1
mcare_ptd_enroll,Fraction enrolled in Medicare Part D,mcare_ptd_enroll,mean,1,weight, ldied == 0 & mcare_pta_enroll == 1
ttl_mcare_ptd_enroll,Number People enrolled in Medicare Part D (Millions),mcare_ptd_enroll,sum,0.000001,weight, ldied == 0
ss_tax,Social Security taxes (billion),hoasi,sum,0.000000001,weight,ldied == 0
med_tax,Medicare Payroll Tax (billion),hmed,sum,0.000000001,weight,ldied == 0
agi,Average Individual AGI,agi,mean,1,weight,died==0
mcare_pta_premium_paid,Average Medicare Part A premium paid,mcare_pta_premium,mean,1,weight,ldied==0 & mcare_pta_enroll==1
mcare_ptb_premium_paid,Average Medicare Part B premium paid,mcare_ptb_premium,mean,1,weight,ldied==0 & mcare_ptb_enroll == 1
ttl_mcare_pta_premium,Total Medicare Part A premium collected (billions),mcare_pta_premium,sum,0.000000001,weight,ldied==0 & mcare_pta_enroll==1
ttl_mcare_ptb_premium,Total Medicare Part B premium collected (billions),mcare_ptb_premium,sum,0.000000001,weight,ldied==0 & mcare_ptb_enroll==1
ttl_mcare_pta_eligible,Total Eligible for Medicare Part A (Millions),medicare_elig,sum,0.000001,weight, ldied==0
