|Source: Census projections from 2012_Pop_Projection/NP2012_D4.csv for ages over 51
year	age	male	hispan
2004	51	0	0	894
2004	52	0	0	912
2004	53	0	0	822
2004	54	0	0	766
2004	55	0	0	718
2004	56	0	0	786
2004	57	0	0	897
2004	58	0	0	906
2004	59	0	0	994
2004	60	0	0	1013
2004	61	0	0	967
2004	62	0	0	943
2004	63	0	0	905
2004	64	0	0	892
2004	65	0	0	891
2004	66	0	0	884
2004	67	0	0	880
2004	68	0	0	861
2004	69	0	0	731
2004	70	0	0	535
2004	71	0	0	600
2004	72	0	0	631
2004	73	0	0	519
2004	74	0	0	477
2004	75	0	0	411
2004	76	0	0	337
2004	77	0	0	248
2004	78	0	0	225
2004	79	0	0	211
2004	80	0	0	129
2004	81	0	0	117
2004	82	0	0	140
2004	83	0	0	94
2004	84	0	0	45
2004	85	0	0	228
2004	51	0	1	434
2004	52	0	1	537
2004	53	0	1	468
2004	54	0	1	505
2004	55	0	1	480
2004	56	0	1	499
2004	57	0	1	529
2004	58	0	1	608
2004	59	0	1	589
2004	60	0	1	505
2004	61	0	1	531
2004	62	0	1	443
2004	63	0	1	436
2004	64	0	1	517
2004	65	0	1	499
2004	66	0	1	471
2004	67	0	1	438
2004	68	0	1	366
2004	69	0	1	345
2004	70	0	1	354
2004	71	0	1	338
2004	72	0	1	342
2004	73	0	1	276
2004	74	0	1	256
2004	75	0	1	198
2004	76	0	1	169
2004	77	0	1	180
2004	78	0	1	178
2004	79	0	1	178
2004	80	0	1	137
2004	81	0	1	153
2004	82	0	1	148
2004	83	0	1	128
2004	84	0	1	120
2004	85	0	1	827
2004	51	1	0	606
2004	52	1	0	614
2004	53	1	0	556
2004	54	1	0	515
2004	55	1	0	476
2004	56	1	0	461
2004	57	1	0	501
2004	58	1	0	507
2004	59	1	0	525
2004	60	1	0	393
2004	61	1	0	299
2004	62	1	0	366
2004	63	1	0	410
2004	64	1	0	573
2004	65	1	0	641
2004	66	1	0	689
2004	67	1	0	766
2004	68	1	0	698
2004	69	1	0	684
2004	70	1	0	593
2004	71	1	0	590
2004	72	1	0	598
2004	73	1	0	509
2004	74	1	0	452
2004	75	1	0	358
2004	76	1	0	283
2004	77	1	0	274
2004	78	1	0	243
2004	79	1	0	195
2004	80	1	0	144
2004	81	1	0	106
2004	82	1	0	100
2004	83	1	0	66
2004	84	1	0	61
2004	85	1	0	186
2004	51	1	1	424
2004	52	1	1	447
2004	53	1	1	480
2004	54	1	1	389
2004	55	1	1	232
2004	56	1	1	242
2004	57	1	1	350
2004	58	1	1	377
2004	59	1	1	354
2004	60	1	1	304
2004	61	1	1	311
2004	62	1	1	352
2004	63	1	1	326
2004	64	1	1	368
2004	65	1	1	327
2004	66	1	1	260
2004	67	1	1	263
2004	68	1	1	245
2004	69	1	1	248
2004	70	1	1	209
2004	71	1	1	186
2004	72	1	1	186
2004	73	1	1	179
2004	74	1	1	186
2004	75	1	1	145
2004	76	1	1	131
2004	77	1	1	114
2004	78	1	1	101
2004	79	1	1	121
2004	80	1	1	109
2004	81	1	1	92
2004	82	1	1	92
2004	83	1	1	83
2004	84	1	1	111
2004	85	1	1	531
2005	51	0	0	916
2005	52	0	0	933
2005	53	0	0	843
2005	54	0	0	782
2005	55	0	0	732
2005	56	0	0	800
