| SSA mortality rate adjustment factor starting in 2004. This is meant to be used with 2004 HRS stock population. Based on SSA mortality projections file SSA2013VA1.dta. SSA file is interpolated through 2090, then extended using GLM with log link through 2150.
l2age65pd	year
0	1990	1.2312607
0	1991	1.2212095
0	1992	1.2111584
0	1993	1.2011073
0	1994	1.1910561
0	1995	1.181005
0	1996	1.133305
0	1997	1.0800681
0	1998	1.0515332
0	1999	1.0434412
0	2000	1.0366269
0	2001	1.0366269
0	2002	1.0332198
0	2003	1.0272572
0	2004	1
0	2005	1.004685
0	2006	.9940374
0	2007	.9723169
0	2008	.95954
0	2009	.947189
0	2010	.9488927
0	2011	.9408007
0	2012	.9327087
0	2013	.9252732
0	2014	.9174515
0	2015	.9092845
0	2016	.9008154
0	2017	.8920966
0	2018	.8831832
0	2019	.8741298
0	2020	.8649915
0	2021	.8558188
0	2022	.8466457
0	2023	.8375018
0	2024	.828417
0	2025	.8194208
0	2026	.8105363
0	2027	.80176
0	2028	.7930819
0	2029	.7844918
0	2030	.7759795
0	2031	.7675385
0	2032	.7591761
0	2033	.750903
0	2034	.7427299
0	2035	.7346678
0	2036	.7267235
0	2037	.7188883
0	2038	.7111496
0	2039	.7034948
0	2040	.6959114
0	2041	.688392
0	2042	.6809506
0	2043	.6736061
0	2044	.6663777
0	2045	.6592845
0	2046	.6523386
0	2047	.645524
0	2048	.6388178
0	2049	.6321971
0	2050	.6256388
0	2051	.6191258
0	2052	.6126637
0	2053	.6062639
0	2054	.5999378
0	2055	.5936967
0	2056	.5875498
0	2057	.5814973
0	2058	.5755368
0	2059	.5696665
0	2060	.5638841
0	2061	.5581875
0	2062	.5525738
0	2063	.5470401
0	2064	.5415835
0	2065	.536201
0	2066	.5308892
0	2067	.5256419
0	2068	.5204526
0	2069	.5153146
0	2070	.5102215
0	2071	.505169
0	2072	.5001637
0	2073	.4952143
0	2074	.49033
0	2075	.4855196
0	2076	.4807891
0	2077	.4761327
0	2078	.4715418
0	2079	.4670076
0	2080	.4625213
0	2081	.4580766
0	2082	.4536767
0	2083	.4493271
0	2084	.4450332
0	2085	.4408007
0	2086	.4366319
0	2087	.4325165
0	2088	.4284413
0	2089	.4243928
0	2090	.4203577
0	2091	.4133734
0	2092	.4092126
0	2093	.4050938
0	2094	.4010164
0	2095	.3969799
0	2096	.3929842
0	2097	.3890286
0	2098	.3851129
0	2099	.3812366
0	2100	.3773993
0	2101	.3736006
0	2102	.3698402
0	2103	.3661176
0	2104	.3624325
0	2105	.3587844
0	2106	.3551731
0	2107	.3515982
0	2108	.3480592
0	2109	.3445558
0	2110	.3410877
0	2111	.3376546
0	2112	.3342559
0	2113	.3308915
0	2114	.327561
0	2115	.3242639
0	2116	.3210001
0	2117	.3177691
0	2118	.3145706
0	2119	.3114043
0	2120	.3082699
0	2121	.3051671
0	2122	.3020954
0	2123	.2990547
0	2124	.2960446
0	2125	.2930648
0	2126	.290115
0	2127	.2871949
0	2128	.2843041
0	2129	.2814425
0	2130	.2786097
0	2131	.2758053
0	2132	.2730292
0	2133	.2702811
0	2134	.2675606
0	2135	.2648675
0	2136	.2622015
0	2137	.2595624
0	2138	.2569498
0	2139	.2543634
0	2140	.2518032
0	2141	.2492687
0	2142	.2467597
0	2143	.244276
0	2144	.2418172
0	2145	.2393832
0	2146	.2369737
0	2147	.2345885
0	2148	.2322273
0	2149	.2298898
0	2150	.2275759
1	1990	1.1033275
1	1991	1.1011577
1	1992	1.098988
1	1993	1.0968182
1	1994	1.0946484
1	1995	1.0924786
1	1996	1.0863458
1	1997	1.0793223
1	1998	1.0778449
1	1999	1.0904546
1	2000	1.0784723
1	2001	1.0647898
1	2002	1.0599117
1	2003	1.0420192
1	2004	1
1	2005	1.001761
1	2006	.9682022
1	2007	.9468688
1	2008	.9505121
1	2009	.9102538
1	2010	.9098895
1	2011	.8936161
1	2012	.8794478
1	2013	.8673539
1	2014	.8550926
