* Growth in the US civilian labor force starting at 100 in 1992	
* Based on the intermediate scenario from the 2008 OASDI Trustees Report	
1990	100
1991	99
1992	100
1993	101
1994	102.01
1995	103.03
1996	104.58
1997	106.14
1998	107.74
1999	109.35
2000	110.99
2001	111.99
2002	113
2003	114.02
2004	115.04
2005	116.08
2006	117.7
2007	119
2008	119.83
2009	121.15
2010	122.48
2011	123.58
2012	124.57
2013	125.44
2014	126.32
2015	127.08
2016	127.84
2017	128.61
2018	129.34
2019	130.03
2020	130.68
2021	131.31
2022	131.91
2023	132.49
2024	133.05
2025	133.58
2026	134.11
2027	134.65
2028	135.19
2029	135.73
2030	136.27
2031	136.84
2032	137.45
2033	138.08
2034	138.74
2035	139.44
2036	140.13
2037	140.83
2038	141.54
2039	142.25
2040	142.96
2041	143.67
2042	144.39
2043	145.11
2044	145.84
2045	146.57
2046	147.27
2047	147.95
2048	148.6
2049	149.22
2050	149.82
2051	150.42
2052	151.02
2053	151.62
2054	152.23
2055	152.84
2056	153.45
2057	154.06
2058	154.68
2059	155.3
2060	155.92
2061	156.54
2062	157.17
2063	157.8
2064	158.43
2065	159.06
2066	159.7
2067	160.34
2068	160.98
2069	161.62
2070	162.27
2071	162.92
2072	163.57
2073	164.23
2074	164.88
2075	165.54
2076	166.21
2077	166.87
2078	167.54
2079	168.21
2080	168.88
2081	169.56
2082	170.23
2083	170.92
2084	171.6
2085	172.29
2086	172.97
2087	173.67
2088	174.36
2089	175.06
2090	175.76
2091	176.46
2092	177.17
2093	177.88
2094	178.59
2095	179.3
2096	180.02
2097	180.74
2098	181.46
2099	182.19
2100	182.92
2101	183.65168
2102	184.3862867
2103	185.1238319
2104	185.8643272
2105	186.6077845
2106	187.3542156
2107	188.1036325
2108	188.856047
2109	189.6114712
2110	190.3699171
2111	191.1313968
2112	191.8959224
2113	192.6635061
2114	193.4341601
2115	194.2078967
2116	194.9847283
2117	195.7646672
2118	196.5477259
2119	197.3339168
2120	198.1232525
2121	198.9157455
2122	199.7114084
2123	200.5102541
2124	201.3122951
2125	202.1175443
2126	202.9260145
2127	203.7377185
2128	204.5526694
2129	205.3708801
2130	206.1923636
2131	207.017133
2132	207.8452016
2133	208.6765824
2134	209.5112887
2135	210.3493339
2136	211.1907312
2137	212.0354941
2138	212.8836361
2139	213.7351706
2140	214.5901113
2141	215.4484718
2142	216.3102657
2143	217.1755067
2144	218.0442087
2145	218.9163856
2146	219.7920511
2147	220.6712193
2148	221.5539042
2149	222.4401198
2150	223.3298803
