* Thresholds for Part B premium sharing are given in nominal dollars, not constant dollars	
* Since the FEM uses constant 2010 dollars, we need to deflate thresholds after 2010	
* SInce we've just got one year for thresholds, we'll inflate them before 2010	
* Average urban CPI was 2.56% from 2000 to 2009, so that's what we use	
1990	265265.17
1991	258643.88
1992	252187.87
1993	245893.01
1994	239755.28
1995	233770.75
1996	227935.6
1997	222246.1
1998	216698.61
1999	211289.6
2000	206015.6
2001	200873.24
2002	195859.25
2003	190970.4
2004	186203.59
2005	181555.76
2006	177023.95
2007	172605.26
2008	168296.86
2009	164096
2010	160000
2011	155888
2012	151881.68
2013	147978.32
2014	144175.28
2015	140469.97
2016	136859.89
2017	133342.59
2018	129915.69
2019	126576.86
2020	126576.86
2021	126576.86
2022	126576.86
2023	126576.86
2024	126576.86
2025	126576.86
2026	126576.86
2027	126576.86
2028	126576.86
2029	126576.86
2030	126576.86
2031	126576.86
2032	126576.86
2033	126576.86
2034	126576.86
2035	126576.86
2036	126576.86
2037	126576.86
2038	126576.86
2039	126576.86
2040	126576.86
2041	126576.86
2042	126576.86
2043	126576.86
2044	126576.86
2045	126576.86
2046	126576.86
2047	126576.86
2048	126576.86
2049	126576.86
2050	126576.86
2051	126576.86
2052	126576.86
2053	126576.86
2054	126576.86
2055	126576.86
2056	126576.86
2057	126576.86
2058	126576.86
2059	126576.86
2060	126576.86
2061	126576.86
2062	126576.86
2063	126576.86
2064	126576.86
2065	126576.86
2066	126576.86
2067	126576.86
2068	126576.86
2069	126576.86
2070	126576.86
2071	126576.86
2072	126576.86
2073	126576.86
2074	126576.86
2075	126576.86
2076	126576.86
2077	126576.86
2078	126576.86
2079	126576.86
2080	126576.86
2081	126576.86
2082	126576.86
2083	126576.86
2084	126576.86
2085	126576.86
2086	126576.86
2087	126576.86
2088	126576.86
2089	126576.86
2090	126576.86
2091	126576.86
2092	126576.86
2093	126576.86
2094	126576.86
2095	126576.86
2096	126576.86
2097	126576.86
2098	126576.86
2099	126576.86
2100	126576.86
2101	126576.86
2102	126576.86
2103	126576.86
2104	126576.86
2105	126576.86
2106	126576.86
2107	126576.86
2108	126576.86
2109	126576.86
2110	126576.86
2111	126576.86
2112	126576.86
2113	126576.86
2114	126576.86
2115	126576.86
2116	126576.86
2117	126576.86
2118	126576.86
2119	126576.86
2120	126576.86
2121	126576.86
2122	126576.86
2123	126576.86
2124	126576.86
2125	126576.86
2126	126576.86
2127	126576.86
2128	126576.86
2129	126576.86
2130	126576.86
2131	126576.86
2132	126576.86
2133	126576.86
2134	126576.86
2135	126576.86
2136	126576.86
2137	126576.86
2138	126576.86
2139	126576.86
2140	126576.86
2141	126576.86
2142	126576.86
2143	126576.86
2144	126576.86
2145	126576.86
2146	126576.86
2147	126576.86
2148	126576.86
2149	126576.86
2150	126576.86
