* Mortality decrease. Gives 10 yr increase LE in 2012	
2004	1
2005	1
2006	1
2007	1
2008	1
2009	1
2010	1
2011	1
2012	0.388
2013	0.388
2014	0.388
2015	0.388
2016	0.388
2017	0.388
2018	0.388
2019	0.388
2020	0.388
2021	0.388
2022	0.388
2023	0.388
2024	0.388
2025	0.388
2026	0.388
2027	0.388
2028	0.388
2029	0.388
2030	0.388
2031	0.388
2032	0.388
2033	0.388
2034	0.388
2035	0.388
2036	0.388
2037	0.388
2038	0.388
2039	0.388
2040	0.388
2041	0.388
2042	0.388
2043	0.388
2044	0.388
2045	0.388
2046	0.388
2047	0.388
2048	0.388
2049	0.388
2050	0.388
2051	0.388
2052	0.388
2053	0.388
2054	0.388
2055	0.388
2056	0.388
2057	0.388
2058	0.388
2059	0.388
2060	0.388
2061	0.388
2062	0.388
2063	0.388
2064	0.388
2065	0.388
2066	0.388
2067	0.388
2068	0.388
2069	0.388
2070	0.388
2071	0.388
2072	0.388
2073	0.388
2074	0.388
2075	0.388
2076	0.388
2077	0.388
2078	0.388
2079	0.388
2080	0.388
2081	0.388
2082	0.388
2083	0.388
2084	0.388
2085	0.388
2086	0.388
2087	0.388
2088	0.388
2089	0.388
2090	0.388
2091	0.388
2092	0.388
2093	0.388
2094	0.388
2095	0.388
2096	0.388
2097	0.388
2098	0.388
2099	0.388
2100	0.388
2101	0.388
2102	0.388
2103	0.388
2104	0.388
2105	0.388
2106	0.388
2107	0.388
2108	0.388
2109	0.388
2110	0.388
2111	0.388
2112	0.388
2113	0.388
2114	0.388
2115	0.388
2116	0.388
2117	0.388
2118	0.388
2119	0.388
2120	0.388
2121	0.388
2122	0.388
2123	0.388
2124	0.388
2125	0.388
2126	0.388
2127	0.388
2128	0.388
2129	0.388
2130	0.388
2131	0.388
2132	0.388
2133	0.388
2134	0.388
2135	0.388
2136	0.388
2137	0.388
2138	0.388
2139	0.388
2140	0.388
2141	0.388
2142	0.388
2143	0.388
2144	0.388
2145	0.388
2146	0.388
2147	0.388
2148	0.388
2149	0.388
2150	0.388
