* National Wage Index. Source, SSA 2009 TR Intermediate Cost Assumptions, Table VI.F6. Historical through 2009, 1.1% long term real growth	
1951	2799.16
1952	2973.32
1953	3139.44
1954	3155.64
1955	3301.44
1956	3532.36
1957	3641.72
1958	3673.8
1959	3855.8
1960	4007.12
1961	4086.76
1962	4291.4
1963	4396.64
1964	4576.32
1965	4658.72
1966	4938.36
1967	5213.44
1968	5571.76
1969	5893.76
1970	6186.24
1971	6497.08
1972	7133.8
1973	7580.16
1974	8030.76
1975	8630.92
1976	9226.48
1977	9779.44
1978	10556.03
1979	11479.46
1980	12513.46
1981	13773.1
1982	14531.34
1983	15239.24
1984	16135.07
1985	16822.51
1986	17321.82
1987	18426.51
1988	19334.04
1989	20099.55
1990	21027.98
1991	21811.6
1992	22935.42
1993	23132.67
1994	23753.53
1995	24705.66
1996	25913.9
1997	27426
1998	28861.44
1999	30469.84
2000	32154.82
2001	32921.92
2002	33252.09
2003	34064.95
2004	35648.55
2005	36952.94
2006	38651.41
2007	40405.48
2008	41334.97
2009	42188.90059
2010	42907.1539
2011	43620.12367
2012	44197.64134
2013	44678.92509
2014	45126.39706
2015	45737.87594
2016	46166.53771
2017	46633.76651
2018	47117.93237
2019	47609.11504
2020	48107.47768
2021	48615.76519
2022	49124.06768
2023	49625.12185
2024	50148.08302
2025	50681.90465
2026	51221.69804
2027	51773.63627
2028	52331.85569
2029	52896.80171
2030	53472.10332
2031	54060.83821
2032	54659.91507
2033	55273.43335
2034	55892.84817
2035	56518.25376
2036	57149.04618
2037	57790.20312
2038	58444.80628
2039	59104.39219
2040	59771.72474
2041	60445.75023
2042	61127.12147
2043	61816.83762
2044	62511.54809
2045	63211.18862
2046	63917.92765
2047	64628.21656
2048	65348.02711
2049	66072.86438
2050	66803.52394
2051	67540.25349
2052	68284.01427
2053	69037.38336
2054	69793.96069
2055	70560.11474
2056	71333.83582
2057	72114.12354
2058	72904.95357
2059	73706.6067
2060	74516.1793
2061	75338.21745
2062	76170.78439
2063	77012.9689
2064	77862.91909
2065	78721.59378
2066	79592.97698
2067	80471.06911
2068	81361.4665
2069	82260.66907
2070	83168.55346
2071	84086.64715
2072	85012.9659
2073	85949.20113
2074	86896.66575
2075	87855.47318
2076	88824.70121
2077	89803.86095
2078	90793.02698
2079	91794.28569
2080	92805.88026
2081	93827.88347
2082	94860.30494
2083	95903.846
2084	96967.30584
2085	98051.22314
2086	99129.78658
2087	100220.2142
2088	101322.6366
2089	102437.1856
2090	103563.9947
2091	104703.1986
2092	105854.9338
2093	107019.338
2094	108196.5508
2095	109386.7128
2096	110589.9666
2097	111806.4563
2098	113036.3273
2099	114279.7269
2100	115536.8039
2101	116807.7087
2102	118092.5935
2103	119391.6121
2104	120704.9198
2105	122032.6739
2106	123375.0333
2107	124732.1587
2108	126104.2124
2109	127491.3588
2110	128893.7637
2111	130311.5951
2112	131745.0227
2113	133194.2179
2114	134659.3543
2115	136140.6072
2116	137638.1539
2117	139152.1736
2118	140682.8475
2119	142230.3588
2120	143794.8928
2121	145376.6366
2122	146975.7796
2123	148592.5132
2124	150227.0308
2125	151879.5282
2126	153550.203
2127	155239.2552
2128	156946.887
2129	158673.3028
2130	160418.7091
2131	162183.3149
2132	163967.3314
2133	165770.972
2134	167594.4527
2135	169437.9917
2136	171301.8096
2137	173186.1295
2138	175091.1769
2139	177017.1799
2140	178964.3688
2141	180932.9769
2142	182923.2396
2143	184935.3953
2144	186969.6846
2145	189026.3511
2146	191105.641
2147	193207.8031
2148	195333.0889
2149	197481.7529
2150	199654.0522
2151	201850.2468
2152	204070.5995
2153	206315.3761
2154	208584.8452
2155	210879.2785
2156	213198.9506
2157	215544.1391
2158	217915.1246
2159	220312.191
2160	222735.6251
2161	225185.7169
2162	227662.7598
2163	230167.0502
2164	232698.8877
2165	235258.5755
2166	237846.4198
2167	240462.7304
2168	243107.8205
2169	245782.0065
2170	248485.6086
2171	251218.9503
2172	253982.3587
2173	256776.1647
2174	259600.7025
2175	262456.3102
2176	265343.3296
2177	268262.1062
2178	271212.9894
2179	274196.3323
2180	277212.492
2181	280261.8294
2182	283344.7095
2183	286461.5013
2184	289612.5778
2185	292798.3162
2186	296019.0976
2187	299275.3077
2188	302567.3361
2189	305895.5768
2190	309260.4281
2191	312662.2928
2192	316101.5781
2193	319578.6954
2194	323094.0611
2195	326648.0958
2196	330241.2248
2197	333873.8783
2198	337546.4909
2199	341259.5023
2200	345013.3569

