* Addition to poverty threshold for each person after first	
* Pulled from http://aspe.hhs.gov/poverty/figures-fed-reg.shtml	
* Poverty level for 2010 was frozen at 2009 levels	
1983	1680
1984	1740
1985	1800
1986	1880
1987	1900
1988	1960
1989	2040
1990	2140
1991	2260
1992	2380
1993	2460
1994	2480
1995	2560
1996	2620
1997	2720
1998	2800
1999	2820
2000	2900
2001	3020
2002	3080
2003	3140
2004	3180
2005	3260
2006	3400
2007	3480
2008	3600
2009	3740
2010	3740
2011	3740
2012	3740
2013	3740
2014	3740
2015	3740
2016	3740
2017	3740
2018	3740
2019	3740
2020	3740
2021	3740
2022	3740
2023	3740
2024	3740
2025	3740
2026	3740
2027	3740
2028	3740
2029	3740
2030	3740
2031	3740
2032	3740
2033	3740
2034	3740
2035	3740
2036	3740
2037	3740
2038	3740
2039	3740
2040	3740
2041	3740
2042	3740
2043	3740
2044	3740
2045	3740
2046	3740
2047	3740
2048	3740
2049	3740
2050	3740
2051	3740
2052	3740
2053	3740
2054	3740
2055	3740
2056	3740
2057	3740
2058	3740
2059	3740
2060	3740
2061	3740
2062	3740
2063	3740
2064	3740
2065	3740
2066	3740
2067	3740
2068	3740
2069	3740
2070	3740
2071	3740
2072	3740
2073	3740
2074	3740
2075	3740
2076	3740
2077	3740
2078	3740
2079	3740
2080	3740
2081	3740
2082	3740
2083	3740
2084	3740
2085	3740
2086	3740
2087	3740
2088	3740
2089	3740
2090	3740
2091	3740
2092	3740
2093	3740
2094	3740
2095	3740
2096	3740
2097	3740
2098	3740
2099	3740
2100	3740
2101	3740
2102	3740
2103	3740
2104	3740
2105	3740
2106	3740
2107	3740
2108	3740
2109	3740
2110	3740
2111	3740
2112	3740
2113	3740
2114	3740
2115	3740
2116	3740
2117	3740
2118	3740
2119	3740
2120	3740
2121	3740
2122	3740
2123	3740
2124	3740
2125	3740
2126	3740
2127	3740
2128	3740
2129	3740
2130	3740
2131	3740
2132	3740
2133	3740
2134	3740
2135	3740
2136	3740
2137	3740
2138	3740
2139	3740
2140	3740
2141	3740
2142	3740
2143	3740
2144	3740
2145	3740
2146	3740
2147	3740
2148	3740
2149	3740
2150	3740

