* Base poverty level for one person as determined by HHS	
* Pulled from http://aspe.hhs.gov/poverty/figures-fed-reg.shtml	
* Poverty level for 2010 was frozen at 2009 levels	
1983	4860
1984	4980
1985	5250
1986	5360
1987	5500
1988	5770
1989	5980
1990	6280
1991	6620
1992	6810
1993	6970
1994	7360
1995	7470
1996	7740
1997	7890
1998	8050
1999	8240
2000	8350
2001	8590
2002	8860
2003	8980
2004	9310
2005	9570
2006	9800
2007	10210
2008	10400
2009	10830
2010	10830
2011	10830
2012	10830
2013	10830
2014	10830
2015	10830
2016	10830
2017	10830
2018	10830
2019	10830
2020	10830
2021	10830
2022	10830
2023	10830
2024	10830
2025	10830
2026	10830
2027	10830
2028	10830
2029	10830
2030	10830
2031	10830
2032	10830
2033	10830
2034	10830
2035	10830
2036	10830
2037	10830
2038	10830
2039	10830
2040	10830
2041	10830
2042	10830
2043	10830
2044	10830
2045	10830
2046	10830
2047	10830
2048	10830
2049	10830
2050	10830
2051	10830
2052	10830
2053	10830
2054	10830
2055	10830
2056	10830
2057	10830
2058	10830
2059	10830
2060	10830
2061	10830
2062	10830
2063	10830
2064	10830
2065	10830
2066	10830
2067	10830
2068	10830
2069	10830
2070	10830
2071	10830
2072	10830
2073	10830
2074	10830
2075	10830
2076	10830
2077	10830
2078	10830
2079	10830
2080	10830
2081	10830
2082	10830
2083	10830
2084	10830
2085	10830
2086	10830
2087	10830
2088	10830
2089	10830
2090	10830
2091	10830
2092	10830
2093	10830
2094	10830
2095	10830
2096	10830
2097	10830
2098	10830
2099	10830
2100	10830
2101	10830
2102	10830
2103	10830
2104	10830
2105	10830
2106	10830
2107	10830
2108	10830
2109	10830
2110	10830
2111	10830
2112	10830
2113	10830
2114	10830
2115	10830
2116	10830
2117	10830
2118	10830
2119	10830
2120	10830
2121	10830
2122	10830
2123	10830
2124	10830
2125	10830
2126	10830
2127	10830
2128	10830
2129	10830
2130	10830
2131	10830
2132	10830
2133	10830
2134	10830
2135	10830
2136	10830
2137	10830
2138	10830
2139	10830
2140	10830
2141	10830
2142	10830
2143	10830
2144	10830
2145	10830
2146	10830
2147	10830
2148	10830
2149	10830
2150	10830
