* Real GDP growth year-over-year
* 1992 to 2009 is historic from the Bureau of Economic Analysis National Economic Accounts	
* 2010 to 2019 is based on CBO's analysis of the Presiden'ts Budget, March 2009	
* 2020 to 2100 is based on the 2008 OASDI Trustees Report long-term projection of 2.1 percent real GDP growth	
* THIS IS GDP + 1 for the voucher GDP+1 subsidy inflation schedule
1992	0
1993	0.0
1994	0.0
1995	0.0
1996	0.0
1997	0.0
1998	0.0
1999	0.0
2000	0.0
2001	0.0
2002	0.0
2003	0.0
2004	0.0
2005	0.0
2006	0.0
2007	0.0
2008	0.0
2009	-0.00
2010	0.0
2011	0.0
2012	0.0
2013	0.05
2014	0.05
2015	0.04
2016	0.03
2017	0.03
2018	0.03
2019	0.03
2020	0.03
2021	0.03
2022	0.03
2023	0.03
2024	0.03
2025	0.03
2026	0.03
2027	0.03
2028	0.03
2029	0.03
2030	0.03
2031	0.03
2032	0.03
2033	0.03
2034	0.03
2035	0.03
2036	0.03
2037	0.03
2038	0.03
2039	0.03
2040	0.03
2041	0.03
2042	0.03
2043	0.03
2044	0.03
2045	0.03
2046	0.03
2047	0.03
2048	0.03
2049	0.03
2050	0.03
2051	0.03
2052	0.03
2053	0.03
2054	0.03
2055	0.03
2056	0.03
2057	0.03
2058	0.03
2059	0.03
2060	0.03
2061	0.03
2062	0.03
2063	0.03
2064	0.03
2065	0.03
2066	0.03
2067	0.03
2068	0.03
2069	0.03
2070	0.03
2071	0.03
2072	0.03
2073	0.03
2074	0.03
2075	0.03
2076	0.03
2077	0.03
2078	0.03
2079	0.03
2080	0.03
2081	0.03
2082	0.03
2083	0.03
2084	0.03
2085	0.03
2086	0.03
2087	0.03
2088	0.03
2089	0.03
2090	0.03
2091	0.03
2092	0.03
2093	0.03
2094	0.03
2095	0.03
2096	0.03
2097	0.03
2098	0.03
2099	0.03
2100	0.03
