* Real GDP growth year-over-year
* 1992 to 2009 is historic from the Bureau of Economic Analysis National Economic Accounts	
* 2010 to 2019 is based on CBO's analysis of the Presiden'ts Budget, March 2009	
* 2020 to 2100 is based on the 2008 OASDI Trustees Report long-term projection of 2.1 percent real GDP growth	
* For the GDP voucher scenario, we are using this same vector to inflate the voucher amount over and above CPI
1992	0
1993	0.0
1994	0.0
1995	0.0
1996	0.0
1997	0.0
1998	0.0
1999	0.0
2000	0.0
2001	0.0
2002	0.0
2003	0.0
2004	0.0
2005	0.0
2006	0.0
2007	0.0
2008	0.0
2009	-0.0
2010	0.0
2011	0.0
2012	0.0
2013	0.04
2014	0.04
2015	0.03
2016	0.02
2017	0.02
2018	0.02
2019	0.02
2020	0.02
2021	0.02
2022	0.02
2023	0.02
2024	0.02
2025	0.02
2026	0.02
2027	0.02
2028	0.02
2029	0.02
2030	0.02
2031	0.02
2032	0.02
2033	0.02
2034	0.02
2035	0.02
2036	0.02
2037	0.02
2038	0.02
2039	0.02
2040	0.02
2041	0.02
2042	0.02
2043	0.02
2044	0.02
2045	0.02
2046	0.02
2047	0.02
2048	0.02
2049	0.02
2050	0.02
2051	0.02
2052	0.02
2053	0.02
2054	0.02
2055	0.02
2056	0.02
2057	0.02
2058	0.02
2059	0.02
2060	0.02
2061	0.02
2062	0.02
2063	0.02
2064	0.02
2065	0.02
2066	0.02
2067	0.02
2068	0.02
2069	0.02
2070	0.02
2071	0.02
2072	0.02
2073	0.02
2074	0.02
2075	0.02
2076	0.02
2077	0.02
2078	0.02
2079	0.02
2080	0.02
2081	0.02
2082	0.02
2083	0.02
2084	0.02
2085	0.02
2086	0.02
2087	0.02
2088	0.02
2089	0.02
2090	0.02
2091	0.02
2092	0.02
2093	0.02
2094	0.02
2095	0.02
2096	0.02
2097	0.02
2098	0.02
2099	0.02
2100	0.02
