laname23,sex,age,population_2011,population_2012,population_2013,population_2014,population_2015,population_2016,population_2017,population_2018,population_2019,population_2020,population_2021,population_2022
ENGLAND,M,50,"361,409","373,477","380,569","388,224","392,138","390,265","392,554","387,584","387,904","378,086","386,596","373,388"
ENGLAND,M,51,"346,924","360,983","372,869","380,234","387,965","391,763","389,684","392,017","386,889","386,392","377,334","385,363"
ENGLAND,M,52,"339,352","346,448","360,454","372,266","379,710","387,405","391,032","388,842","390,788","385,309","385,727","375,791"
ENGLAND,M,53,"332,154","338,552","345,814","359,838","371,527","378,922","386,427","390,007","387,458","388,822","384,419","383,976"
ENGLAND,M,54,"319,149","331,075","337,718","345,206","359,200","370,590","377,827","385,303","388,410","385,245","387,567","382,550"
ENGLAND,M,55,"308,806","317,990","330,037","336,859","344,437","358,218","369,314","376,492","383,301","385,929","383,798","385,620"
ENGLAND,M,56,"297,135","307,397","316,658","328,895","335,766","343,271","356,902","367,660","374,331","380,620","384,328","381,730"
ENGLAND,M,57,"297,836","295,601","305,912","315,255","327,491","334,426","341,950","355,235","365,555","371,454","378,587","381,994"
ENGLAND,M,58,"295,033","296,030","293,831","304,367","313,735","325,862","332,743","340,221","353,049","362,482","369,489","376,158"
ENGLAND,M,59,"285,974","292,995","294,178","292,110","302,646","311,926","323,927","330,792","337,965","350,170","360,185","367,031"
ENGLAND,M,60,"288,397","283,817","290,784","292,126","290,082","300,651","309,718","321,701","328,383","335,093","347,802","357,667"
ENGLAND,M,61,"293,435","286,108","281,556","288,506","289,907","287,819","298,373","307,230","319,142","325,295","332,712","344,918"
ENGLAND,M,62,"302,337","290,756","283,450","279,063","286,023","287,415","285,212","295,759","304,458","315,841","322,591","329,845"
ENGLAND,M,63,"319,545","299,254","287,874","280,842","276,363","283,265","284,622","282,501","292,792","301,104","312,904","319,448"
ENGLAND,M,64,"348,284","316,119","296,004","284,850","277,844","273,371","280,246","281,570","279,357","289,241","297,945","309,720"
ENGLAND,M,65,"268,158","344,224","312,259","292,474","281,412","274,586","270,014","276,760","278,241","275,677","285,965","294,558"
ENGLAND,M,66,"260,309","264,546","339,949","308,485","288,714","277,841","271,117","266,555","273,130","274,250","272,191","282,292"
ENGLAND,M,67,"259,773","256,578","260,748","335,507","304,147","284,676","273,888","267,353","262,801","268,789","270,369","268,525"
ENGLAND,M,68,"240,572","255,904","252,630","256,879","330,643","299,572","280,393","269,698","263,362","258,445","264,615","266,443"
ENGLAND,M,69,"213,801","236,402","251,620","248,501","252,596","325,269","294,680","275,597","265,074","258,561","253,889","260,409"
ENGLAND,M,70,"191,917","209,814","232,054","247,192","244,058","248,043","319,650","289,309","270,635","259,750","253,887","249,450"
ENGLAND,M,71,"199,921","187,707","205,576","227,466","242,269","239,162","243,094","313,426","283,687","264,841","254,490","249,080"
ENGLAND,M,72,"197,591","195,225","183,306","201,014","222,387","237,134","233,900","237,686","306,957","277,087","258,966","249,065"
ENGLAND,M,73,"192,255","192,530","190,089","178,869","196,201","216,962","231,445","228,274","232,137","299,182","270,428","252,979"
ENGLAND,M,74,"181,894","186,864","187,099","185,064","173,798","190,979","211,121","225,270","222,430","225,425","291,258","263,625"
ENGLAND,M,75,"171,911","176,244","181,105","181,614","179,239","168,454","185,188","204,634","218,906","215,297","218,579","283,089"
ENGLAND,M,76,"162,735","165,903","169,965","175,283","175,417","173,260","162,834","178,990","198,105","211,094","207,978","211,580"
ENGLAND,M,77,"149,477","156,387","159,533","163,849","168,688","168,900","166,899","156,779","172,850","190,261","203,116","200,400"
ENGLAND,M,78,"140,940","143,031","149,734","153,027","156,980","161,618","161,992","160,022","150,641","165,275","182,217","195,034"
ENGLAND,M,79,"136,064","134,357","136,178","142,966","145,707","149,953","154,238","154,720","152,999","142,976","157,469","174,091"
ENGLAND,M,80,"127,395","128,848","127,139","129,247","135,310","138,252","142,219","146,274","147,227","144,411","135,335","149,571"
ENGLAND,M,81,"116,429","119,556","121,203","119,974","121,539","127,483","130,312","133,958","138,463","138,108","135,870","127,662"
ENGLAND,M,82,"104,119","108,407","111,094","113,495","111,911","113,703","119,253","121,795","125,938","128,800","128,985","127,182"
ENGLAND,M,83,"92,560","96,077","99,979","102,934","104,778","103,724","105,520","110,650","113,469","116,306","119,340","120,059"
ENGLAND,M,84,"83,689","84,385","87,622","91,886","94,084","96,315","95,349","96,818","102,259","103,483","106,716","109,871"
ENGLAND,M,85,"74,160","75,761","76,034","79,697","82,887","85,273","87,344","86,706","88,441","92,146","93,920","97,454"
ENGLAND,M,86,"63,615","66,164","67,513","68,488","70,985","74,180","76,489","78,272","78,406","78,738","82,577","84,702"
ENGLAND,M,87,"54,463","56,161","58,108","59,959","60,074","62,807","65,475","67,154","69,814","68,751","69,729","73,426"
ENGLAND,M,88,"46,119","47,372","48,584","50,761","51,819","52,350","54,548","56,709","58,742","60,019","59,802","60,862"
ENGLAND,M,89,"39,749","39,326","40,233","41,796","43,099","44,343","44,824","46,266","48,693","49,268","51,505","51,373"
ENGLAND,M,90,"111,803","121,014","126,718","134,489","138,619","144,815","149,624","152,779","159,645","160,688","164,983","170,961"
ENGLAND,F,50,"366,327","379,669","388,904","397,814","402,687","401,743","400,808","398,687","399,398","389,915","400,518","384,203"
ENGLAND,F,51,"351,937","366,078","379,614","388,819","397,780","402,790","401,541","400,765","398,234","398,405","389,943","399,629"
ENGLAND,F,52,"344,086","351,621","365,801","379,571","388,589","397,549","402,385","401,180","400,002","397,135","398,210","389,004"
ENGLAND,F,53,"336,435","343,760","351,330","365,487","379,381","388,334","397,150","401,972","400,217","398,719","397,023","397,129"
ENGLAND,F,54,"324,806","335,856","343,333","350,883","365,000","379,073","387,700","396,517","400,710","398,604","398,321","395,541"
ENGLAND,F,55,"313,516","324,117","335,175","342,715","350,309","364,343","378,418","386,816","395,139","399,251","398,025","396,674"
ENGLAND,F,56,"303,305","312,544","323,215","334,367","341,960","349,507","363,368","377,501","385,401","393,301","398,480","396,568"
