"sex","age_group","population_2011","population_2012","population_2013","population_2014","population_2015","population_2016","population_2017","population_2018","population_2019","population_2020","population_2021","population_2022"
"F","50-59",3242308,3320403,3403157,3492669,3589802,3676770,3750877,3811713,3861334,3891776,3928783,3926672
"F","60-69",2925300,2967425,2992168,3006574,3019297,3036805,2989170,2982022,3001811,3036441,3098185,3172955
"F","70-79",1988177,2004975,2047405,2105405,2151952,2200695,2320634,2405140,2469905,2521127,2576956,2613089
"F","80-89",1242453,1244494,1243029,1250321,1254548,1266895,1281279,1297547,1318976,1322838,1323243,1340020
"F","90+",302611,316473,322286,333527,332559,337462,337578,335578,343131,340853,344453,349365
"M","50-59",3183772,3260548,3338040,3423254,3514615,3592648,3662360,3714153,3755650,3774509,3798030,3793601
"M","60-69",2794611,2833708,2856874,2867233,2877731,2894465,2848263,2844724,2866740,2902296,2960983,3033825
"M","70-79",1724705,1748062,1794639,1856344,1904744,1954465,2070361,2149110,2209347,2251188,2298388,2328393
"M","80-89",802298,822057,837509,858237,876486,898430,921333,944602,971452,980030,983779,1002162
"M","90+",111803,121014,126718,134489,138619,144815,149624,152779,159645,160688,164983,170961
