AGE GROUP,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
0-4,3346727,3298341,3254058,3199741,3156575,3129202,3122493,3112277,3105324,3102265,3101483,3101588,3103426,3107691,3115143,3126404,3141304,3159613,3181497,3206816,3235111,3265763,3297406,3328352,3357053,3382106
5-9,3523866,3542243,3545214,3537022,3494763,3451951,3399368,3350849,3293743,3248387,3219489,3212037,3201873,3194961,3191936,3191196,3191331,3193207,3197505,3204987,3216272,3231192,3249510,3271395,3296714,3325016
10-14,3274119,3357876,3441053,3508137,3576630,3601405,3616583,3616239,3606053,3562332,3518552,3465524,3417089,3360061,3314772,3285912,3278494,3268343,3261455,3258456,3257730,3257883,3259782,3264097,3271597,3282891
15-19,3096575,3089942,3113204,3177717,3271346,3375588,3455540,3534856,3599511,3666287,3689984,3704682,3704386,3694238,3650637,3606960,3554032,3505687,3448761,3403556,3374771,3367401,3357259,3350394,3347416,3346708
20-24,3512654,3487975,3459619,3412241,3348938,3311884,3296014,3309918,3367680,3456581,3557974,3636707,3716077,3780789,3847575,3871365,3886165,3886014,3876079,3832667,3789183,3736475,3688361,3631552,3586381,3557592
25-29,3815924,3813069,3783024,3738878,3707133,3677769,3642635,3603637,3548041,3478261,3436656,3418511,3432434,3490290,3579346,3680923,3759875,3839409,3904252,3971156,3995018,4009825,4009644,3999652,3956212,3912677
30-34,3787597,3818183,3839456,3873273,3898653,3883307,3873735,3836895,3787857,3752298,3720287,3683891,3645079,3589685,3520139,3478720,3460757,3474805,3532694,3621687,3723166,3802042,3881475,3946265,4013108,4036971
35-39,3717483,3741830,3753972,3766573,3776731,3805288,3831710,3848796,3879766,3902881,3886089,3875889,3839344,3790695,3755500,3723804,3687717,3649203,3594165,3525028,3483939,3466231,3480408,3538259,3627083,3728328
40-44,3390584,3417240,3484755,3563040,3647626,3722142,3743562,3752805,3763571,3772337,3799858,3825745,3842883,3873837,3896925,3880355,3870379,3834210,3786054,3751294,3719996,3684316,3646194,3591652,3523083,3482451
45-49,3799242,3720435,3647374,3542921,3450149,3397994,3422391,3487345,3563608,3646427,3719628,3740644,3750054,3760988,3769929,3797481,3823372,3840624,3871594,3894701,3878467,3868825,3833198,3785720,3751542,3720774
50-54,3915451,3909562,3879262,3871312,3840156,3790373,3710937,3637399,3533371,3441210,3389521,3413858,3478618,3554473,3636723,3709423,3730562,3740312,3751562,3760823,3788506,3814490,3831950,3863011,3886214,3870476
55-59,3573329,3674320,3766982,3827564,3863346,3872104,3865450,3835190,3827301,3796773,3748077,3670492,3598924,3497466,3407679,3357687,3382516,3447108,3522489,3604003,3676046,3697404,3707671,3719408,3729142,3757048
60-64,3044374,3116461,3205164,3302144,3403034,3497015,3594639,3684679,3743819,3779116,3788325,3782869,3754604,3748246,3719710,3673306,3598685,3529904,3432121,3345706,3298115,3323617,3387937,3462583,3543007,3614092
65-69,2822593,2800495,2792487,2818833,2871651,2933818,3002525,3087826,3181472,3279192,3370591,3465676,3553635,3611971,3647469,3657895,3654352,3628835,3624525,3598742,3555510,3485041,3420111,3327448,3245722,3201433
70-74,2724800,2780907,2819575,2832803,2704689,2644721,2624872,2618821,2644893,2695805,2755920,2822306,2904214,2994248,3088305,3176583,3268282,3353164,3410221,3445858,3457861,3456903,3435143,3433616,3411612,3372728
75-79,1863126,1941891,2017263,2119239,2323157,2433401,2483435,2518270,2529840,2420057,2370480,2356281,2353938,2380340,2429024,2486485,2549527,2626227,2710706,2799112,2882516,2968936,3048960,3103784,3139298,3153288
80-84,1403756,1440617,1459057,1453202,1471370,1518471,1586029,1651173,1735871,1908961,2002958,2046225,2075230,2084214,2000145,1965036,1958483,1961027,1987450,2032442,2085488,2143086,2211567,2287215,2366599,2442069
85-89,865702,879076,893076,909572,930819,958379,984050,999093,996363,1012620,1051226,1104424,1153858,1214218,1343341,1413180,1445326,1465305,1470491,1418935,1401478,1403579,1411283,1436264,1474727,1519953
90+,499276,512609,523875,535358,545339,552709,560922,574167,589160,605933,624553,642147,656132,660691,677927,709290,747833,780917,814194,895712,947080,978796,1000009,1013298,1023114,1037497
All ages,55977178,56343072,56678470,56989570,57282105,57557521,57816890,58060235,58297244,58527723,58751651,58969496,59181798,59389102,59592225,59792005,59988992,60183914,60377815,60571681,60766253,60961805,61157868,61353965,61549624,61744098
