
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="cancre",="diabe",="hearte",="hibpe",="lunge",="stroke",="arthre",="psyche",="died",="asthmae",="parkine",="drink",="smoke_start",="smoke_stop",="work",="hlthlm",="retemp"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="male",="0.0258",="0.260***",="0.0957*",="0.137**",="0.0813",="0.0921",="-0.232***",="-0.144*",="0.281***",="-0.106",="0.120",="0.345***",="0.163**",="0.0649",="0.151***",="0.139***",="0.107***"
="",="(0.56)",="(4.44)",="(2.11)",="(2.85)",="(1.42)",="(1.33)",="(-6.04)",="(-2.42)",="(5.70)",="(-1.23)",="(0.96)",="(12.20)",="(3.02)",="(1.16)",="(4.79)",="(5.59)",="(3.69)"

="white",="0.319",="-0.0900",="0.0374",="0.181",="0.330",="0.126",="-0.288*",="0.0790",="0.0829",="0.154",="0",="1.437***",="0.0737",="-0.148",="-0.0442",="-0.00147",="0.268**"
="",="(1.25)",="(-0.44)",="(0.20)",="(0.91)",="(1.01)",="(0.35)",="(-2.52)",="(0.41)",="(0.42)",="(0.44)",="(.)",="(18.37)",="(0.45)",="(-0.77)",="(-0.45)",="(-0.02)",="(2.79)"

="hsless",="-0.0189",="0.0351",="-0.0599",="0.187***",="0.0869",="0.104",="0.0439",="0.00293",="0.0610",="-0.0522",="0.0273",="-0.316***",="0.0627",="-0.144*",="-0.111**",="0.0283",="-0.0889**"
="",="(-0.36)",="(0.56)",="(-1.18)",="(3.51)",="(1.43)",="(1.43)",="(1.02)",="(0.04)",="(1.20)",="(-0.56)",="(0.20)",="(-11.12)",="(1.03)",="(-2.45)",="(-2.95)",="(1.06)",="(-2.77)"

="college",="0.0670",="-0.00345",="0.0945",="-0.0306",="-0.139",="-0.0490",="-0.0256",="0.0475",="0.0481",="0.0641",="-0.00433",="0.301***",="-0.128",="0.0869",="0.126**",="-0.221***",="0.140***"
="",="(1.05)",="(-0.04)",="(1.52)",="(-0.47)",="(-1.45)",="(-0.47)",="(-0.49)",="(0.60)",="(0.61)",="(0.54)",="(-0.02)",="(6.67)",="(-1.60)",="(0.90)",="(3.19)",="(-6.25)",="(3.52)"

="l2age65l",="0.0281**",="0.0175",="0.0262**",="-0.0106",="0.0291**",="0.00817",="0.00364",="-0.0319***",="0.0625***",="0.00126",="0.177*",="-0.0128**",="-0.00856",="0.0140",="-0.0887***",="0.00145",="0.158***"
="",="(3.14)",="(1.62)",="(2.79)",="(-1.39)",="(2.62)",="(0.51)",="(0.58)",="(-3.64)",="(4.31)",="(0.08)",="(2.26)",="(-2.67)",="(-1.14)",="(1.90)",="(-17.90)",="(0.36)",="(25.74)"

="l2age6574",="0.0184*",="-0.00224",="0.0218**",="0.0225**",="0.00805",="0.0374**",="0.000333",="-0.0249*",="0.00747",="0.00233",="-0.0144",="-0.0253***",="-0.0288**",="-0.0331**",="-0.0114",="0.0167***",="0.00911"
="",="(2.38)",="(-0.23)",="(2.92)",="(2.80)",="(0.84)",="(3.19)",="(0.05)",="(-2.26)",="(0.82)",="(0.17)",="(-0.69)",="(-5.53)",="(-2.75)",="(-2.86)",="(-1.59)",="(4.10)",="(1.70)"

="l2age75p",="0.000426",="-0.00348",="0.0144*",="-0.00241",="0.00684",="0.0156",="0.00144",="0.0142",="0.0753***",="0.00458",="0.0144",="-0.0233***",="-0.0273*",="0.0506***",="-0.0479***",="0.00598",="-0.000319"
="",="(0.05)",="(-0.35)",="(2.07)",="(-0.26)",="(0.77)",="(1.72)",="(0.20)",="(1.37)",="(14.13)",="(0.33)",="(0.84)",="(-5.24)",="(-2.20)",="(3.37)",="(-3.81)",="(1.39)",="(-0.06)"

