
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="cancre",="diabe",="hearte",="hibpe",="lunge",="stroke",="arthre",="psyche",="died",="asthmae",="parkine",="drink",="smoke_start",="smoke_stop",="work",="hlthlm",="retemp"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="male",="0.117*",="0.227***",="0.0228",="0.107*",="0.0984",="0.0111",="-0.254***",="-0.120",="0.256***",="-0.0823",="0.631***",="0.244***",="0.211***",="0.0335",="0.199***",="0.180***",="0.0821*"
="",="(2.30)",="(3.38)",="(0.40)",="(2.11)",="(1.58)",="(0.13)",="(-6.70)",="(-1.95)",="(7.91)",="(-0.97)",="(3.37)",="(8.24)",="(4.21)",="(0.68)",="(6.28)",="(7.15)",="(2.49)"

="white",="0.0660",="-0.189",="0.205",="-0.0501",="-0.0881",="0",="-0.189",="0.114",="-0.0930",="-0.292",="0",="1.220***",="0.298",="-0.0757",="0.131",="-0.0941",="0.0736"
="",="(0.29)",="(-0.75)",="(0.72)",="(-0.25)",="(-0.40)",="(.)",="(-1.59)",="(0.52)",="(-0.85)",="(-1.01)",="(.)",="(13.91)",="(1.56)",="(-0.44)",="(1.24)",="(-0.94)",="(0.62)"

="hsless",="-0.0257",="0.0203",="-0.0369",="0.152**",="0.0861",="0.142",="0.0291",="0.0134",="0.118***",="-0.0841",="0.204",="-0.340***",="0.125*",="-0.0856",="-0.0548",="0.0395",="-0.109**"
="",="(-0.44)",="(0.29)",="(-0.59)",="(2.71)",="(1.31)",="(1.62)",="(0.70)",="(0.20)",="(3.53)",="(-0.87)",="(1.23)",="(-11.29)",="(2.25)",="(-1.63)",="(-1.51)",="(1.48)",="(-3.08)"

="college",="0.0687",="-0.145",="0.0230",="0.0290",="-0.142",="-0.116",="-0.0675",="-0.126",="-0.0341",="0.119",="-0.224",="0.176***",="-0.116",="0.215*",="0.130**",="-0.146***",="0.188***"
="",="(0.93)",="(-1.31)",="(0.27)",="(0.41)",="(-1.31)",="(-0.78)",="(-1.25)",="(-1.34)",="(-0.58)",="(1.01)",="(-0.68)",="(3.66)",="(-1.50)",="(2.38)",="(3.07)",="(-3.93)",="(3.93)"

="l2age65l",="0.0260**",="0.0283*",="0.0115",="0.00245",="0.0237*",="0.0113",="0.0105",="-0.0314***",="0.0195**",="0.00724",="0.0841",="-0.0147***",="-0.0114",="0.0230***",="-0.0897***",="0.0112**",="0.152***"
="",="(3.05)",="(2.43)",="(1.17)",="(0.33)",="(2.37)",="(0.69)",="(1.86)",="(-3.70)",="(2.95)",="(0.52)",="(1.65)",="(-3.37)",="(-1.80)",="(3.59)",="(-19.36)",="(3.07)",="(24.39)"

="l2age6574",="0.0110",="0.00196",="0.0373***",="0.0145",="0.00531",="0.0194",="-0.00162",="-0.0287*",="0.0340***",="0.0110",="-0.00512",="-0.0232***",="-0.0158",="-0.0227*",="-0.0189*",="0.00684",="0.00959"
="",="(1.22)",="(0.18)",="(3.89)",="(1.62)",="(0.49)",="(1.33)",="(-0.23)",="(-2.29)",="(5.72)",="(0.74)",="(-0.18)",="(-4.64)",="(-1.58)",="(-2.12)",="(-2.43)",="(1.58)",="(1.56)"

="l2age75p",="0.00688",="-0.0168",="-0.00833",="-0.00358",="-0.000277",="0.0313**",="-0.00234",="0.0102",="0.0598***",="-0.00602",="0.0222",="-0.0190***",="-0.0584***",="0.0292*",="-0.0320*",="-0.00350",="0.00197"
="",="(0.70)",="(-1.26)",="(-0.82)",="(-0.34)",="(-0.02)",="(2.59)",="(-0.28)",="(0.72)",="(15.98)",="(-0.37)",="(1.01)",="(-3.47)",="(-3.78)",="(2.01)",="(-2.29)",="(-0.68)",="(0.30)"

