
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="cancre",="diabe",="hearte",="hibpe",="lunge",="stroke",="arthre",="psyche",="died",="asthmae",="parkine",="drink",="smoke_start",="smoke_stop",="work",="hlthlm",="retemp"

="main",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="male",="0.0848***",="0.138***",="0.0867***",="0.0659**",="0.106***",="0.109***",="-0.204***",="-0.150***",="0.267***",="0.0193",="0.321***",="0.329***",="0.147***",="0.0495",="0.346***",="0.00135",="0.0233"
="",="(3.35)",="(5.29)",="(4.07)",="(3.13)",="(3.48)",="(3.44)",="(-9.77)",="(-4.69)",="(11.25)",="(0.56)",="(5.28)",="(21.18)",="(4.51)",="(1.47)",="(26.45)",="(0.12)",="(1.81)"

="white",="0.126",="-0.406***",="-0.0876",="-0.0785",="0.352**",="-0.0633",="-0.0764",="0.0189",="-0.00778",="-0.122",="0.103",="1.119***",="0.0965",="0.195",="0.137***",="-0.176***",="0.187***"
="",="(1.48)",="(-6.62)",="(-1.44)",="(-1.33)",="(2.72)",="(-0.65)",="(-1.34)",="(0.22)",="(-0.09)",="(-1.37)",="(0.48)",="(28.82)",="(1.00)",="(1.68)",="(3.91)",="(-5.28)",="(4.82)"

="hsless",="-0.0130",="0.103***",="-0.0149",="0.178***",="0.157***",="0.111**",="0.0518*",="-0.0239",="0.182***",="0.102**",="0.0268",="-0.341***",="0.171***",="-0.0827*",="-0.246***",="0.253***",="-0.130***"
="",="(-0.45)",="(3.64)",="(-0.62)",="(7.58)",="(4.81)",="(3.28)",="(2.20)",="(-0.67)",="(7.28)",="(2.71)",="(0.42)",="(-21.29)",="(4.73)",="(-2.32)",="(-15.97)",="(20.35)",="(-8.94)"

="college",="0.0474",="-0.238***",="-0.0409",="-0.0585",="-0.207***",="-0.0955",="-0.0634*",="-0.0601",="-0.0821",="-0.0311",="-0.0892",="0.258***",="-0.126*",="0.223***",="0.186***",="-0.349***",="0.0779***"
="",="(1.27)",="(-5.25)",="(-1.26)",="(-1.85)",="(-3.75)",="(-1.75)",="(-2.08)",="(-1.27)",="(-1.91)",="(-0.59)",="(-0.93)",="(10.03)",="(-2.48)",="(3.56)",="(10.40)",="(-19.30)",="(4.11)"

="l2age65l",="0.0299***",="0.0118**",="0.0179***",="0.00513",="0.0170***",="0.0314***",="0.0171***",="-0.0185***",="0.0304***",="-0.00364",="0.0208",="-0.00651**",="-0.0119**",="0.0125**",="-0.112***",="0.0172***",="0.219***"
="",="(6.78)",="(3.11)",="(5.31)",="(1.86)",="(3.48)",="(4.66)",="(6.06)",="(-5.06)",="(5.66)",="(-0.80)",="(1.71)",="(-2.98)",="(-2.93)",="(3.06)",="(-65.89)",="(10.51)",="(86.94)"

="l2age6574",="0.0154***",="0.00133",="0.0259***",="0.0131***",="0.00629",="0.0292***",="0.00109",="-0.0125*",="0.0358***",="-0.00350",="0.0323**",="-0.0264***",="-0.0115*",="-0.00973",="-0.133***",="0.0277***",="0.0856***"
="",="(3.59)",="(0.30)",="(7.15)",="(3.53)",="(1.21)",="(5.30)",="(0.30)",="(-2.20)",="(8.14)",="(-0.58)",="(3.21)",="(-10.34)",="(-1.96)",="(-1.52)",="(-48.54)",="(14.28)",="(36.83)"

="l2age75p",="-0.00335",="-0.00785",="0.0167***",="-0.00374",="-0.00561",="0.0250***",="0.00278",="0.00726",="0.0669***",="-0.00126",="-0.00189",="-0.0213***",="-0.0340***",="0.0230*",="-0.0514***",="0.0332***",="-0.00730**"
="",="(-0.80)",="(-1.65)",="(4.92)",="(-0.93)",="(-1.08)",="(5.99)",="(0.70)",="(1.23)",="(24.77)",="(-0.20)",="(-0.22)",="(-8.21)",="(-4.16)",="(2.40)",="(-9.74)",="(16.55)",="(-2.96)"

="_cons",="-4.098***",="-2.477***",="-2.935***",="-1.872***",="-3.750***",="-4.435***",="-2.435***",="-1.082***",="-4.226***",="-2.052***",="-4.564***",="0.564***",="-1.700***",="-1.903***",="6.323***",="-1.548***",="-13.47***"
="",="(-15.22)",="(-11.09)",="(-14.51)",="(-11.34)",="(-12.08)",="(-10.90)",="(-14.48)",="(-4.95)",="(-13.00)",="(-7.63)",="(-6.17)",="(4.36)",="(-6.90)",="(-7.34)",="(62.35)",="(-15.73)",="(-87.36)"

="N",="55480",="54854",="50135",="36277",="57040",="57954",="39490",="54716",="46593",="52714",="59974",="51537",="51414",="8224",="60310",="58106",="60310"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
