          	            b_hearte	            b_stroke	            b_cancre	             b_hibpe	             b_diabe	             b_lunge
Non-Hispanic black	             -0.1736	             -0.0133	             -0.0686	              0.1393	              0.0782	             -0.2495
Hispanic  	             -0.2257	             -0.0487	             -0.1451	              0.0393	              0.1968	             -0.2654
Less than high school	              0.0633	             -0.0102	             -0.0168	              0.0487	              0.0863	              0.0247
Some college and above	              0.0118	              0.0234	              0.0411	             -0.0162	              0.0115	             -0.0385
Male      	              0.1329	              0.0575	              0.1373	             -0.1432	              0.1283	             -0.0595
lage65l   	              0.0150	              0.0244	              0.0274	              0.0206	              0.0189	              0.0142
lage6574  	              0.0274	              0.0175	              0.0232	              0.0172	             -0.0043	              0.0169
lage75p   	              0.0205	              0.0169	             -0.0024	             -0.0024	             -0.0085	             -0.0090
Lag of Stroke	              0.0609	                    	             -0.0068	              0.2679	             -0.0177	              0.1293
Lag of Cancer	              0.0864	             -0.0063	                    	              0.0203	              0.0752	              0.2276
Lag of Hypertension	              0.2164	              0.1433	             -0.0803	                    	              0.2499	              0.0829
Lag of Diabetes	              0.1168	              0.2092	              0.1872	              0.2585	                    	              0.0839
Lag of Lung disease	              0.2519	              0.0336	              0.0155	             -0.0344	              0.1500	                    
Lag of IADL only 	              0.0226	              0.1869	              0.0929	             -0.0145	             -0.0621	              0.1753
Lag of ADL 1 or 2	              0.1038	              0.1946	              0.0190	              0.0489	              0.1439	              0.1889
Lag of ADL 3 or more	              0.1566	              0.4613	              0.0041	              0.0541	              0.1231	              0.2452
Lag of Current smoking	              0.1566	              0.0603	              0.0279	              0.0095	             -0.1414	              0.2442
Lag of Widowed	             -0.0047	              0.0375	             -0.0123	              0.1659	             -0.0205	             -0.0130
Lag of Obese(bmi>=30)	              0.0512	             -0.1109	             -0.0469	              0.2813	              0.4016	              0.1555
Lag of Overweight(25<=bmi<30)	              0.0213	             -0.0578	             -0.0790	              0.1336	              0.1819	              0.0325
Init. of Stroke	             -0.0655	                    	              0.0356	             -0.1761	              0.0674	             -0.3647
Init. of Cancer	              0.0619	             -0.0030	                    	             -0.0154	             -0.0900	             -0.0826
Init. of Hypertension	              0.0003	              0.0765	              0.1169	                    	             -0.0250	             -0.0425
Init. of Diabetes	              0.1282	              0.0355	             -0.2249	             -0.0599	                    	             -0.1074
Init. of Lung disease	             -0.0823	              0.0768	              0.0771	              0.0379	             -0.1138	                    
Init. of Ever smoked	              0.0437	              0.0123	              0.0785	             -0.0321	              0.0473	              0.2770
Init. of Current smoking	             -0.0070	              0.0906	              0.0581	              0.0647	              0.1659	              0.2268
Init. of IADL only 	              0.0668	             -0.0042	             -0.1361	             -0.0194	             -0.0974	              0.0304
Init. of ADL 1 or 2	              0.1127	             -0.0512	              0.0667	             -0.0355	             -0.0216	              0.0791
Init. of ADL 3 or more	             -0.0027	             -0.4577	              0.1390	             -0.3136	             -0.1286	              0.0828
Init. of Widowed	             -0.0041	              0.0359	             -0.0202	             -0.1353	              0.1254	              0.0534
Init. of Single	             -0.0213	             -0.0806	              0.0932	             -0.0124	              0.0138	              0.0710
Init. of R working for pay	              0.0603	              0.1734	              0.0436	             -0.0385	             -0.0770	              0.0075
flogiearnx	             -0.4858	             -6.3890	             -0.8535	              0.2629	              0.0054	             -3.3812
Init. of Non-pension wlth(hatota) not zero	              0.0432	              0.1074	              0.0279	             -0.0284	              0.0474	              0.1193
floghatotax	             -1.0666	             -2.0003	              1.3651	             -0.8158	             -1.3910	             -2.1190
AIME in ini.intw (-9=no match)	              0.3134	             -0.4043	              0.4657	              0.8357	             -0.0091	             -0.0487
Quarters of earnings in ini.intw (-9=no match)	             -0.2286	              0.6552	             -0.6983	             -0.9979	             -0.1162	              0.2153
Init. of Health fair/poor	              0.1324	              0.0983	             -0.0083	              0.0298	              0.0951	              0.1622
Init. of Any DB from current job RND VG	             -0.0285	             -0.1165	              0.0864	              0.0379	              0.0202	             -0.0482
Init. of  	              0.0518	              0.0271	             -0.0519	             -0.0395	              0.0211	              0.0817
Init. of  	              0.0395	              0.1443	             -0.0607	              0.0361	              0.1667	              0.1526
Init. of  	              0.0651	              0.0465	             -0.0567	              0.0219	              0.0652	              0.0973
Init. of Any DC from current job RND VG	             -0.0942	              0.1170	              0.1204	              0.1355	             -0.1050	              0.0091
Init. of (IHT of DC wlth in 1000s)/100 if any DC,zero otherwise	              1.7233	             -1.5340	             -3.5983	             -2.6689	              1.3923	              0.4243
Init. of Obese(bmi>=30)	              0.0576	              0.0843	              0.0391	              0.0274	              0.4213	             -0.0987
Init. of Overweight(25<=bmi<30)	              0.0134	              0.0610	              0.0819	              0.0623	              0.2466	             -0.0826
logdeltaage	              0.3666	              0.5052	              0.5414	              0.3698	              0.3516	              0.2156
Lag of Heart disease	                    	              0.1415	             -0.0464	              0.1173	              0.1816	              0.2165
Init. of Heart disease	                    	             -0.0168	              0.1008	             -0.0901	             -0.1085	             -0.0453
_cons     	             -3.4698	             -4.3624	             -4.3623	             -3.1507	             -3.9581	             -3.5762


