          	            erdoctim   	            emdoctim   	            erhsptim   	            emhsptim   	            erhspnit   	            emhspnit   
doctim    	                       	                       	                       	                       	                       	                       
age75l    	              0.0104** 	              0.0753***	                       	                       	                       	                       
          	            (0.0043)   	            (0.0036)   	                       	                       	                       	                       
Male      	             -0.3659***	             -0.1068***	                       	                       	                       	                       
          	            (0.0339)   	            (0.0174)   	                       	                       	                       	                       
Black     	             -0.3611***	             -0.2806***	                       	                       	                       	                       
          	            (0.0546)   	            (0.0332)   	                       	                       	                       	                       
Hispanic  	             -0.2600***	             -0.0812*  	                       	                       	                       	                       
          	            (0.0617)   	            (0.0454)   	                       	                       	                       	                       
Less than high school	             -0.1400** 	             -0.1130***	                       	                       	                       	                       
          	            (0.0545)   	            (0.0219)   	                       	                       	                       	                       
Some college and above	              0.0559   	              0.0596***	                       	                       	                       	                       
          	            (0.0356)   	            (0.0194)   	                       	                       	                       	                       
widowed   	             -0.0325   	             -0.1145***	                       	                       	                       	                       
          	            (0.0691)   	            (0.0183)   	                       	                       	                       	                       
single    	              0.0984***	             -0.1358***	                       	                       	                       	                       
          	            (0.0364)   	            (0.0347)   	                       	                       	                       	                       
Cancer    	              0.6487***	              0.3035***	                       	                       	                       	                       
          	            (0.0528)   	            (0.0192)   	                       	                       	                       	                       
Diabetes  	              0.3239***	              0.2224***	                       	                       	                       	                       
          	            (0.0425)   	            (0.0204)   	                       	                       	                       	                       
Hypertension	              0.2738***	              0.1716***	                       	                       	                       	                       
          	            (0.0333)   	            (0.0175)   	                       	                       	                       	                       
Heart disease	              0.3933***	              0.4259***	                       	                       	                       	                       
          	            (0.0424)   	            (0.0176)   	                       	                       	                       	                       
Lung disease	              0.3438***	              0.2302***	                       	                       	                       	                       
          	            (0.0555)   	            (0.0227)   	                       	                       	                       	                       
Stroke    	              0.4222***	              0.0999***	                       	                       	                       	                       
          	            (0.0904)   	            (0.0239)   	                       	                       	                       	                       
age75p    	                       	             -0.0199***	                       	                       	                       	                       
          	                       	            (0.0017)   	                       	                       	                       	                       
Living in nursing home	                       	             -6.0364***	                       	                       	                       	                       
          	                       	            (0.5063)   	                       	                       	                       	                       
Constant  	              1.2824***	             -3.6730***	                       	                       	                       	                       
          	            (0.2490)   	            (0.2634)   	                       	                       	                       	                       
hsptim    	                       	                       	                       	                       	                       	                       
age75l    	                       	                       	              0.0158   	              0.0495***	                       	                       
          	                       	                       	            (0.0102)   	            (0.0063)   	                       	                       
