Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
20 & under,1473,473.89,880,475.91,593,470.9
21,3024,519.66,1739,530.9,1285,504.45
22,6584,560.08,3912,567.88,2672,548.67
23,11673,588.7,7034,600.98,4639,570.07
24,17051,619.48,10106,636.16,6945,595.21
25,22249,653.2,12980,669.6,9269,630.23
26,28279,687.65,16336,705.28,11943,663.53
27,33775,722.92,19362,742.23,14413,696.98
28,39293,750.05,22246,772.13,17047,721.24
29,44145,771.41,24775,792.32,19370,744.66
30,49233,797.82,27388,817.11,21845,773.62
31,55370,815.82,30178,837.67,25192,789.64
32,60570,838.16,32407,860.25,28163,812.74
33,66754,854.42,35035,875.21,31719,831.45
34,71557,874.56,36984,899.59,34573,847.78
35,74594,889.83,38305,914.84,36289,863.42
36,78603,906.66,39704,937.16,38899,875.52
37,80686,920.15,40620,952.22,40066,887.63
38,85305,931.88,42565,966.46,42740,897.45
39,91487,950.5,45254,990.28,46233,911.57
40,98758,959.78,48960,1006.1,49798,914.24
41,109810,972.45,54287,1023.17,55523,922.85
42,126270,985.61,62593,1038.64,63677,933.48
43,139937,1001.15,69627,1058.76,70310,944.11
44,145410,1012.22,73387,1073.55,72023,949.73
45,153732,1021.51,77931,1087.03,75801,954.15
46,165572,1029.62,84052,1099.52,81520,957.54
47,182077,1042.02,93043,1115.29,89034,965.45
48,203772,1050.94,103203,1128.38,100569,971.48
49,232217,1064.45,117682,1148.45,114535,978.15
50,253201,1079.19,128473,1170.24,124728,985.41
51,279788,1092.39,142132,1189.87,137656,991.75
52,308817,1111.24,157418,1215.39,151399,1002.94
53,330447,1127.66,168892,1239.87,161555,1010.36
54,353660,1143.6,181226,1263.67,172434,1017.41
55,378347,1164.07,195039,1291.63,183308,1028.34
56,412999,1180.07,213262,1316.53,199737,1034.38
57,431398,1200.08,223427,1342.98,207971,1046.55
58,441033,1220.48,228664,1371.49,212369,1057.88
59,457726,1236.91,237608,1393.89,220118,1067.46
60,463918,1254.06,241637,1420.51,222281,1073.12
61,476973,1271.24,250016,1444.19,226957,1080.71
62,482668,1290.07,255824,1468.26,226844,1089.11
63,469543,1299.37,250873,1482.02,218670,1089.81
64,467511,1308.56,250940,1498.96,216571,1087.93
65,453689,1318.08,244144,1518.37,209545,1084.73
66 & over,1606,1201.66,756,1513.71,850,924.12
Total,8942584,1146.43,4642906,1271.46,4299678,1011.42
