AGE,TOT_TOT,TOT_MALE,TOT_FEMALE,WHITE_TOT,WHITE_MALE,WHITE_FEMALE,BLACK_TOT,BLACK_MALE,BLACK_FEMALE,AIE_TOT,AIE_MALE,AIE_FEMALE,API_TOT,API_MALE,API_FEMALE,HISP_TOT,HISP_MALE,HISP_FEMALE,NH_WHITE_TOT,NH_WHITE_MALE,NH_WHITE_FEMALE,NH_BLACK_TOT,NH_BLACK_MALE,NH_BLACK_FEMALE,NH_AIE_TOT,NH_AIE_MALE,NH_AIE_FEMALE,NH_API_TOT,NH_API_MALE,NH_API_FEMALE
All ages,270002,131883,138119,222648,109316,113332,34537,16378,18159,2337,1154,1183,10480,5035,5445,29566,14922,14644,195786,95741,100045,32789,15506,17284,2005,984,1020,9856,4730,5126
Under 5 years,19117,9780,9336,14928,7653,7275,3098,1571,1527,207,105,102,885,452,433,3133,1601,1532,12071,6193,5878,2910,1475,1435,177,89,88,826,422,404
Under 1 year,3801,1943,1857,2945,1509,1436,630,319,311,42,21,21,183,93,90,635,324,311,2367,1214,1153,591,299,292,36,18,18,171,87,84
1 year,3775,1930,1844,2943,1508,1435,616,312,304,41,21,20,175,90,86,619,316,303,2378,1220,1158,578,293,286,35,18,17,164,84,80
2 years,3800,1945,1855,2970,1523,1447,614,312,302,41,21,20,175,89,86,611,312,299,2413,1239,1175,577,293,284,35,18,17,164,84,80
3 years,3829,1959,1871,3002,1539,1463,612,310,302,41,21,20,174,89,85,604,308,296,2451,1258,1193,576,291,284,35,18,18,163,83,80
4 years,3912,2003,1908,3067,1574,1494,625,318,308,42,21,21,177,91,86,664,340,323,2461,1263,1198,587,298,289,35,18,17,164,84,80
5 to 9 years,20024,10252,9773,15768,8086,7682,3177,1614,1563,224,114,110,855,438,417,3127,1599,1528,12923,6631,6291,2995,1520,1475,189,96,93,790,405,385
5 years,3962,2030,1932,3111,1596,1514,631,321,310,43,22,21,177,91,86,660,339,322,2508,1287,1221,593,302,292,36,18,18,164,84,80
6 years,4033,2061,1971,3186,1630,1556,627,319,308,43,22,21,177,91,86,666,340,326,2577,1319,1257,590,300,290,36,18,18,164,84,80
7 years,4075,2085,1991,3217,1649,1568,639,323,315,43,22,21,177,91,86,640,327,313,2632,1350,1282,602,305,298,36,18,18,164,84,80
8 years,3909,2001,1908,3088,1584,1504,616,313,303,46,24,23,159,81,77,580,296,284,2563,1316,1247,581,295,287,39,20,19,146,75,71
9 years,4045,2074,1971,3166,1626,1540,664,338,326,50,25,24,165,85,80,580,297,283,2643,1358,1285,628,319,309,42,21,20,152,78,74
10 to 14 years,19371,9920,9451,15292,7848,7444,2995,1521,1474,242,123,119,842,428,414,2663,1362,1302,12886,6618,6268,2837,1439,1397,204,104,100,781,397,384
10 years,3976,2039,1937,3126,1606,1520,633,321,311,49,25,24,168,86,82,569,292,277,2613,1343,1270,598,303,294,41,21,20,156,80,76
11 years,3871,1982,1888,3061,1570,1490,602,306,297,47,24,23,161,82,78,538,275,263,2574,1322,1253,570,289,281,39,20,19,149,76,73
12 years,3859,1975,1884,3046,1562,1484,595,302,293,49,25,24,169,86,83,529,270,259,2568,1318,1250,564,286,278,41,21,20,156,79,77
13 years,3879,1984,1895,3072,1574,1497,587,298,289,49,25,24,172,87,85,519,265,255,2602,1335,1267,557,282,274,41,21,21,160,81,79
14 years,3786,1940,1846,2988,1534,1454,578,294,284,48,25,24,172,87,85,508,259,248,2529,1300,1229,548,279,270,41,21,20,160,81,79
15 to 19 years,19426,9955,9470,15373,7903,7470,3003,1524,1479,225,113,112,825,415,410,2576,1321,1255,13037,6705,6332,2854,1447,1407,190,95,95,769,388,382
15 years,3896,1997,1898,3070,1578,1492,599,305,294,50,25,25,176,89,87,519,265,254,2601,1338,1263,569,290,279,42,21,21,164,83,81
16 years,3911,2011,1901,3097,1595,1502,600,307,293,46,23,23,168,85,83,514,264,250,2631,1356,1275,571,292,279,39,20,19,157,80,77
17 years,3910,2014,1896,3096,1599,1497,596,305,291,47,24,23,171,87,84,525,270,255,2620,1354,1266,566,289,277,39,20,20,159,81,78
18 years,3844,1966,1878,3047,1564,1483,602,304,298,41,21,21,153,77,76,505,259,246,2588,1329,1259,573,289,284,35,17,18,143,72,71
19 years,3865,1968,1897,3062,1567,1495,605,303,302,41,20,21,156,78,79,512,263,250,2597,1328,1269,574,287,287,35,17,18,146,72,74
20 to 24 years,17451,8853,8598,13920,7115,6806,2598,1280,1318,182,91,91,750,367,384,2415,1242,1173,11720,5981,5739,2460,1211,1249,155,78,78,700,341,358
20 years,3726,1898,1828,2970,1521,1449,568,283,285,38,19,19,150,75,76,508,261,247,2508,1284,1224,538,268,270,32,16,16,140,69,71
21 years,3615,1841,1774,2876,1473,1403,552,275,277,37,19,18,149,74,75,492,253,239,2428,1242,1186,523,261,263,32,16,16,139,69,70
22 years,3365,1708,1657,2689,1376,1314,494,243,250,35,18,18,146,71,75,474,243,230,2258,1153,1104,467,230,237,30,15,15,137,67,70
23 years,3377,1709,1668,2700,1378,1322,494,241,253,35,18,17,149,72,77,470,242,228,2271,1157,1114,468,228,239,30,15,15,139,67,72
24 years,3367,1697,1670,2685,1367,1318,490,237,253,36,18,18,155,74,81,472,244,228,2256,1144,1111,464,224,240,31,15,15,145,69,76
