order,black,hispan,hsless,college,male,single,widowed,lunge,cancre,stroke,constant
1,0.004751682,0.532724614,0.098030035,0.091850825,-0.044644626,0.180513749,0.152633965,0.226285159,0.979897076,0.001620517,-0.700330084
2,-0.159811223,0.024911138,0.271178377,0.161785976,-0.068014928,-0.02102558,0.012697327,0.682608376,1.008977097,0.327711018,-1.562107964
3,0.309114492,0.384460799,0.073429284,0.233755315,-0.045840428,0.093164518,0.095126569,0.340432632,0.505389683,0.107660943,-1.713036017
4,-0.661941761,-0.103202059,-0.02024981,-0.50344015,0.185021871,-0.252378486,-0.416061072,-0.186534581,-0.057869594,0.464934075,1.351158571
5,0.424116392,0.549001249,0.013204309,0.515739839,-0.371029049,0.19881938,0.337817862,1.01203438,1.14081218,0.659825645,-1.250093347
6,0.196548132,0.335617971,0.100018414,0.118265876,-0.139733009,-0.03419397,0.1977425,0.039826348,0.127817343,-0.066202829,0.302050667
7,-0.296989249,-0.087715243,0.416232328,0.325488678,-0.111145158,0.252490049,0.268859931,0.592241395,0.177743233,0.178890534,0.097939965
8,-0.59166556,0.518017945,-0.96648517,-10.21479137,10.67757553,-0.701341069,0.551158102,0.561203062,0.049886097,-0.045545318,4.731749109
9,-0.136247578,-0.090875659,0.418294926,-0.31950362,0.242653392,0.071368083,0.183443512,-0.403381583,-0.947097033,-0.264726521,0.418473716
10,-0.97287846,-1.063955271,-0.083859787,-0.273075537,0.637753582,-0.975347495,-0.982125127,0.196498988,-0.599461771,0.087361954,2.844630248
11,-0.047097063,-0.020095781,0.127435692,-0.045057559,0.009515997,0.012914852,0.000226536,-0.014576304,-0.029452755,0.009773152,0.667823811
12,-0.027380904,-0.006459757,0.064171753,-0.021071451,-0.005402454,0.009176733,0.002838795,-0.002819904,-0.016484683,0.005661773,0.410908229
13,-0.007267999,-0.011452142,-0.001514877,-0.009425269,0.004674625,-0.014542547,-0.011228105,-0.010755623,-0.009870414,-0.00156016,0.055691072
14,-0.002517509,-0.001113955,0.006408312,-0.002742764,0.003920388,0.000565227,-0.000284844,-0.00220496,-0.002001728,0.001721476,0.036221105
15,-0.005715735,-0.003678157,0.010105227,-0.008240241,0.007827204,-0.002099389,-0.006029286,-0.004820448,0.004170872,-0.000845344,0.012228832
16,-0.203165445,-0.068158797,0.175023108,-0.291604592,0.274686346,0.065676544,0.078538117,-0.212791698,-0.156758761,0.054888077,-0.457059797
17,-0.228672825,-0.021886514,0.031995483,-0.294609775,0.05642923,-0.027381748,-0.129311355,0.01056758,-0.28914768,-0.164104408,-0.195224022
18,-0.00742788,-0.078251766,-0.141372872,0.264765327,-0.208442958,-0.01569627,0.17220832,0.047226002,0.149909008,0.068417673,0.89586223
19,-0.142044651,-0.007869139,0.022943437,-0.06068976,-0.347551199,0.080064841,0.133111101,-0.036240974,-0.169488073,-0.13682203,0.978885775
