hibpe,hearte,diabe,anyhi,shlt,wtstate,smkstat,educ,work,wlth_nonzero,logaime,logq,loghatotax,logiearnx,logdcwlthx,anydc,anydb,rdb_ea_c,rdb_na_c
1,0.275177473,0.288829037,-0.002886474,0.289676667,0.277080579,-0.016577219,0.040251756,-0.074659037,-0.149875427,-0.001897031,-0.001613721,-6.50E-05,5.74E-05,0.000525841,0.024354649,0.057861674,0.054279405,-0.0101997
0.275177473,1,0.227138663,-0.027773646,0.406505161,0.082421849,0.013772124,0.109480761,-0.215449342,-0.161012661,-0.012969436,-0.007035717,-0.000880865,-0.000186639,-0.000130712,0.032685644,-0.047311406,-0.056784627,-0.063417919
0.288829037,0.227138663,1,-0.016768877,0.315157193,0.163078734,0.004113966,0.271369704,-0.09903761,-0.07409607,-0.005181111,-0.002348934,-0.001876008,-0.000657936,-0.000884609,0.008781077,-0.124235465,0.044988759,-0.005955997
-0.002886474,-0.027773646,-0.016768877,1,-0.073069433,-0.027775667,-0.083392152,-0.098274105,0.21637888,0.124098479,0.018265369,0.007858222,0.002504437,0.00180124,0.004645079,0.22806736,0.32560058,0.038800168,0.161505194
0.289676667,0.406505161,0.315157193,-0.073069433,1,0.130776422,0.075107819,0.078194652,-0.387745825,-0.196742748,-0.017116076,-0.008946636,-0.002458147,-0.000690187,-0.001501338,-0.065702152,-0.058451884,-0.032369918,-0.026370292
0.277080579,0.082421849,0.163078734,-0.027775667,0.130776422,1,-0.116501496,0.058109275,0.010302662,-0.003143073,-0.001547877,-0.001461954,-0.000103958,-3.12E-07,-0.000987964,-0.019086708,0.033378473,0.034711899,0.020702287
-0.016577219,0.013772124,0.004113966,-0.083392152,0.075107819,-0.116501496,1,-0.706485298,-0.05339296,-0.281007572,0.000244759,0.002599126,-0.002169765,-0.000322673,-0.001280368,-0.063372616,-0.052867301,0.010449801,0.011830297
0.040251756,0.109480761,0.271369704,-0.098274105,0.078194652,0.058109275,-0.706485298,1,-0.060401507,0.113107612,-0.015916632,-0.011120132,7.90E-05,-0.000237405,-0.000369962,-0.004310519,-0.044898126,0.02175112,-0.006346527
-0.074659037,-0.215449342,-0.09903761,0.21637888,-0.387745825,0.010302662,-0.05339296,-0.060401507,1,0.367125439,0.039578962,0.024646972,0.001338058,0,0.000797314,0,0,0.208431285,0.287850442
-0.149875427,-0.161012661,-0.07409607,0.124098479,-0.196742748,-0.003143073,-0.281007572,0.113107612,0.367125439,1,0.020489018,0.01127626,0,0.000762949,0.002557611,0.11445893,0.072148844,-0.041669093,0.063507266
-0.001897031,-0.012969436,-0.005181111,0.018265369,-0.017116076,-0.001547877,0.000244759,-0.015916632,0.039578962,0.020489018,0.011861867,0.007200161,0.000303166,0.000280327,0.000836146,0.029771311,0.009620548,0.007660575,0.020527764
-0.001613721,-0.007035717,-0.002348934,0.007858222,-0.008946636,-0.001461954,0.002599126,-0.011120132,0.024646972,0.01127626,0.007200161,0.005035359,0.000123379,0.000100622,0.000367645,0.014176026,0.000542665,0.007508361,0.014895216
-6.50E-05,-0.000880865,-0.001876008,0.002504437,-0.002458147,-0.000103958,-0.002169765,7.90E-05,0.001338058,0,0.000303166,0.000123379,0.000460289,3.40E-05,0.000123689,0.002344193,0.001770618,-0.001226951,-0.002085379
5.74E-05,-0.000186639,-0.000657936,0.00180124,-0.000690187,-3.12E-07,-0.000322673,-0.000237405,0,0.000762949,0.000280327,0.000100622,3.40E-05,6.40E-05,9.66E-05,0.003019473,0.002250922,-0.001954359,-0.000810798
0.000525841,-0.000130712,-0.000884609,0.004645079,-0.001501338,-0.000987964,-0.001280368,-0.000369962,0.000797314,0.002557611,0.000836146,0.000367645,0.000123689,9.66E-05,0.000463166,0.016481554,0.003904539,-0.002094247,-0.000884191
0.024354649,0.032685644,0.008781077,0.22806736,-0.065702152,-0.019086708,-0.063372616,-0.004310519,0,0.11445893,0.029771311,0.014176026,0.002344193,0.003019473,0.016481554,1,0.108342227,-0.086174067,0.005237458
0.057861674,-0.047311406,-0.124235465,0.32560058,-0.058451884,0.033378473,-0.052867301,-0.044898126,0,0.072148844,0.009620548,0.000542665,0.001770618,0.002250922,0.003904539,0.108342227,1,0,0
0.054279405,-0.056784627,0.044988759,0.038800168,-0.032369918,0.034711899,0.010449801,0.02175112,0.208431285,-0.041669093,0.007660575,0.007508361,-0.001226951,-0.001954359,-0.002094247,-0.086174067,0,1,0.321114557
-0.0101997,-0.063417919,-0.005955997,0.161505194,-0.026370292,0.020702287,0.011830297,-0.006346527,0.287850442,0.063507266,0.020527764,0.014895216,-0.002085379,-0.000810798,-0.000884191,0.005237458,0,0.321114557,1
