Age,Number,Averageamount,Number_male,Averageamount_male,Number_female,Averageamount_female
62,826365.00,1024.03,395368.00,1166.25,430997.00,893.56
63,1148780.00,1060.58,556762.00,1205.41,592018.00,924.38
64,1309649.00,1113.28,639923.00,1266.57,669726.00,966.82
65,1617678.00,1145.98,796038.00,1305.15,821640.00,991.78
66,2394621.00,1320.76,1252018.00,1504.12,1142603.00,1119.85
67,2051151.00,1315.21,1081444.00,1494.87,969707.00,1114.85
68,2068852.00,1324.35,1090035.00,1506.92,978817.00,1121.03
69,2134690.00,1332.88,1123356.00,1518.59,1011334.00,1126.61
70,2067847.00,1356.10,1084965.00,1544.67,982882.00,1147.94
71,1816666.00,1360.06,950429.00,1549.33,866237.00,1152.41
72,1671831.00,1345.63,873862.00,1529.99,797969.00,1143.73
73,1554540.00,1317.22,812003.00,1492.64,742537.00,1125.38
74,1501665.00,1301.43,784150.00,1472.13,717515.00,1114.87
75,1383459.00,1279.26,722812.00,1439.71,660647.00,1103.71
76,1282636.00,1235.88,669033.00,1378.97,613603.00,1079.87
77,1213790.00,1214.70,631006.00,1346.88,582784.00,1071.59
78,1128557.00,1211.32,586008.00,1336.83,542549.00,1075.75
79,1021191.00,1216.47,526952.00,1340.73,494239.00,1083.99
80,992135.00,1233.68,508116.00,1361.31,484019.00,1099.71
81,924542.00,1223.44,471645.00,1340.30,452897.00,1101.76
82,883357.00,1221.59,447173.00,1333.66,436184.00,1106.69
83,792244.00,1221.32,394138.00,1327.12,398106.00,1116.58
84,743270.00,1236.79,362190.00,1347.75,381080.00,1131.34
85,683329.00,1246.05,326687.00,1354.65,356642.00,1146.57
86,606415.00,1235.22,283997.00,1328.77,322418.00,1152.81
87,540007.00,1248.99,244986.00,1346.27,295021.00,1168.21
88,479602.00,1233.17,212751.00,1313.14,266851.00,1169.41
89,404350.00,1224.17,175990.00,1287.84,228360.00,1175.11
90,339754.00,1224.76,143459.00,1276.91,196295.00,1186.65
91,289910.00,1227.31,118889.00,1265.85,171021.00,1200.51
92,227220.00,1228.33,89556.00,1249.26,137664.00,1214.71
93,167042.00,1246.85,62208.00,1276.26,104834.00,1229.40
94,133697.00,1294.02,46943.00,1357.97,86754.00,1259.42
95,99464.00,1316.43,33057.00,1409.13,66407.00,1270.28
96,70959.00,1390.19,22049.00,1546.78,48910.00,1319.59
97,50961.00,1360.47,15051.00,1522.04,35910.00,1292.75
98,35822.00,1329.27,9683.00,1498.08,26139.00,1266.74
99 & over,61240.00,1258.12,14219.00,1417.45,47021.00,1209.93
Total,36719288.00,1261.62,18558951.00,1417.05,18160337.00,1102.77
