,,,Total: NS-SeC,1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,L14.1 Never worked,L14.2 Long-term unemployed,L15 Full-time students
Total: Sex,Total: Age,Total: All usual residents aged 20 or over,"40,300,181","1,001,348","3,319,048","8,802,385","5,543,694","3,996,202","2,999,094","5,940,236","4,825,214","1,675,081","657,976","1,539,903"
,,No Qualifications,"9,296,000","65,878","66,164","650,736","903,146","990,027","753,809","2,139,352","2,364,083","1,121,189","174,715","66,901"
,,Level 1 qualifications,"5,126,576","79,924","126,119","784,268","962,665","567,019","403,244","1,054,005","744,274","161,436","144,101","99,521"
,,Level 2 qualifications,"5,530,824","105,167","192,971","1,038,213","1,235,868","571,506","448,448","1,008,981","545,333","92,374","114,068","177,895"
,,Apprenticeship,"1,464,331","36,224","46,025","187,459","99,042","335,254","326,397","175,039","227,551","5,890","16,919","8,531"
,,Level 3 qualifications,"4,742,744","111,752","228,815","1,020,982","866,885","467,836","464,063","573,392","284,882","49,504","60,718","613,915"
,,Level 4 qualifications and above,"11,725,163","569,304","2,589,277","4,803,585","1,184,320","737,130","354,656","572,955","242,584","92,710","107,870","470,772"
,,Other qualifications,"2,414,543","33,099","69,677","317,142","291,768","327,430","248,477","416,512","416,507","151,978","39,585","102,368"
,Age 20 to 24,Total: Highest level of qualification,"3,595,321","17,763","106,975","439,419","432,319","124,019","239,991","578,973","372,619","215,776","75,483","991,984"
,,No Qualifications,"295,281",498,923,"9,997","12,480","14,540","13,778","56,103","61,151","88,154","16,485","21,172"
,,Level 1 qualifications,"505,794","1,762","3,606","40,342","57,986","23,214","37,321","129,238","91,068","47,025","22,658","51,574"
,,Level 2 qualifications,"653,416","2,806","7,112","71,777","104,235","25,907","52,782","147,475","80,704","28,361","16,022","116,235"
,,Apprenticeship,"94,698",318,931,"7,034","11,338","10,340","22,543","14,602","20,929","1,193","1,702","3,768"
,,Level 3 qualifications,"1,062,306","3,999","11,488","95,979","120,523","24,205","69,953","120,298","57,102","18,139","8,157","532,463"
,,Level 4 qualifications and above,"818,477","7,943","81,708","205,667","117,745","16,354","32,855","87,244","33,027","17,016","7,945","210,973"
,,Other qualifications,"165,349",437,"1,207","8,623","8,012","9,459","10,759","24,013","28,638","15,888","2,514","55,799"
,Age 25 to 29,Total: Highest level of qualification,"3,650,881","54,302","346,597","867,611","524,451","228,810","272,328","504,199","358,155","171,843","87,037","235,548"
,,No Qualifications,"325,662",819,"1,707","14,657","14,422","24,816","19,241","64,061","73,799","83,229","19,875","9,036"
,,Level 1 qualifications,"451,134","3,060","6,734","55,371","61,937","34,374","40,786","105,297","80,127","26,157","22,841","14,450"
,,Level 2 qualifications,"557,804","5,639","14,454","97,349","109,914","42,253","54,903","113,653","66,764","12,889","17,493","22,493"
,,Apprenticeship,"56,410",334,896,"5,748","5,674","10,850","12,589","7,285","10,464",407,"1,203",960
,,Level 3 qualifications,"562,035","8,031","21,949","130,241","119,986","42,825","67,804","78,410","40,287","6,759","8,465","37,278"
,,Level 4 qualifications and above,"1,445,997","34,677","293,639","537,451","194,993","47,321","51,832","90,518","35,343","17,800","12,614","129,809"
,,Other qualifications,"251,839","1,742","7,218","26,794","17,525","26,371","25,173","44,975","51,371","24,602","4,546","21,522"
,Age 30 to 34,Total: Highest level of qualification,"3,509,221","88,747","431,923","926,380","458,818","291,738","241,158","417,826","312,622","154,343","79,466","106,200"
,,No Qualifications,"319,437","1,054","1,972","15,226","13,494","31,237","20,944","60,107","70,934","79,619","18,109","6,741"
,,Level 1 qualifications,"404,770","4,394","9,030","57,069","55,842","42,216","37,050","84,182","68,055","20,805","17,785","8,342"
,,Level 2 qualifications,"519,822","7,706","18,802","97,989","99,881","51,927","49,547","95,575","60,028","10,573","15,908","11,886"
,,Apprenticeship,"38,294",451,974,"4,602","2,779","9,288","8,197","4,414","6,034",336,794,425
,,Level 3 qualifications,"507,479","10,972","28,541","130,560","106,844","50,860","54,742","63,079","32,457","5,505","8,387","15,532"
,,Level 4 qualifications and above,"1,462,331","61,407","360,995","587,916","160,097","70,778","45,092","67,651","28,098","13,761","13,034","53,502"
,,Other qualifications,"257,088","2,763","11,609","33,018","19,881","35,432","25,586","42,818","47,016","23,744","5,449","9,772"
,Age 35 to 39,Total: Highest level of qualification,"3,549,116","109,468","416,145","926,876","456,947","356,749","241,203","423,212","325,548","142,694","81,419","68,855"
,,No Qualifications,"375,157","1,641","2,404","20,193","16,248","42,466","25,782","71,323","86,754","82,436","19,604","6,306"
,,Level 1 qualifications,"509,048","7,562","14,303","80,382","82,683","58,659","43,685","99,733","78,928","17,776","17,935","7,402"
,,Level 2 qualifications,"555,876","10,524","22,501","108,941","110,662","63,593","49,764","97,035","59,432","8,963","15,359","9,102"
,,Apprenticeship,"59,988","1,212","1,814","7,591","3,901","15,836","12,813","6,382","8,661",292,"1,020",466
,,Level 3 qualifications,"454,566","12,025","27,336","115,288","92,462","54,827","47,028","55,157","27,782","4,527","7,676","10,458"
,,Level 4 qualifications and above,"1,370,933","73,593","338,047","565,286","133,870","86,661","39,905","56,644","23,928","9,703","14,123","29,173"
,,Other qualifications,"223,548","2,911","9,740","29,195","17,121","34,707","22,226","36,938","40,063","18,997","5,702","5,948"
,Age 40 to 44,Total: Highest level of qualification,"3,885,934","128,044","389,127","965,520","523,313","447,567","269,895","498,026","389,237","132,799","88,449","53,957"
,,No Qualifications,"469,499","2,632","3,202","27,399","21,383","59,961","32,521","92,907","114,799","85,901","22,942","5,852"
,,Level 1 qualifications,"741,072","13,285","21,816","121,816","127,935","95,221","62,754","143,630","111,169","14,767","21,081","7,598"
,,Level 2 qualifications,"670,326","15,280","29,077","137,005","141,847","81,229","56,721","113,392","65,376","7,079","15,649","7,671"
,,Apprenticeship,"90,387","2,273","3,024","12,222","5,609","27,330","16,996","8,900","11,795",309,"1,308",621
,,Level 3 qualifications,"455,653","13,989","27,911","118,591","94,135","59,033","43,258","54,364","25,582","3,335","7,304","8,151"
,,Level 4 qualifications and above,"1,256,846","77,656","296,806","522,557","116,362","91,358","37,348","50,337","22,689","6,875","14,552","20,306"
,,Other qualifications,"202,151","2,929","7,291","25,930","16,042","33,435","20,297","34,496","37,827","14,533","5,613","3,758"
,Age 45 to 49,Total: Highest level of qualification,"3,879,815","134,642","354,141","943,455","523,534","467,119","277,026","535,153","414,399","113,125","81,047","36,174"
,,No Qualifications,"545,198","3,373","3,452","33,763","26,371","73,643","39,187","115,213","142,849","79,956","22,962","4,429"
,,Level 1 qualifications,"741,330","13,477","18,680","118,864","132,286","97,316","61,786","152,809","112,061","10,446","18,352","5,253"
,,Level 2 qualifications,"643,501","15,196","25,269","129,407","142,418","78,479","52,343","116,238","61,191","5,007","12,765","5,188"
