,,,,,,,,,,,,,,,,,
Population estimates - local authority based by single year of age,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 11 July 2019],,,,,,,,,,,,,,,,,
Area Type  :,countries,,,,,,,,,,,,,,,,
Area Name  :,England,,,,,,,,,,,,,,,,
Gender     :,Male,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,,,,,,,,,
Age 50,303735,305541,306448,304769,313151,323567,336747,342161,348136,361409,373065,379474,386767,389939,388288,390028,382860
Age 51,305069,302317,303958,305893,303222,312148,323465,335844,340787,346924,360399,372036,378799,386424,389497,387350,389406
Age 52,313462,303752,300033,303545,304372,301827,312205,322556,333964,339352,345742,359373,371507,378311,386095,388648,386668
Age 53,324260,311784,301728,299077,302272,303051,301483,311594,320870,332154,338329,344797,358737,370770,377733,385271,388054
Age 54,348274,322401,309238,300946,297103,301194,302634,300373,310052,319149,330898,337149,344032,357934,369970,376609,384446
Age 55,368921,344951,320047,307717,299192,294749,299318,301262,298912,308806,318027,329639,336043,343036,357020,368649,375450
Age 56,298386,366622,341898,318071,305391,296767,292206,297971,299576,297135,307435,316644,328446,334749,341689,355444,367033
Age 57,291478,295088,364715,339203,315704,302879,294401,290345,296601,297836,295702,305923,315355,327286,333446,340100,353738
Age 58,285281,288295,292235,363244,336263,312834,300281,292627,288248,295033,295775,293723,304272,313956,325748,331478,337972
Age 59,271444,282876,285308,289701,361389,332685,309909,298088,290692,285974,292916,293654,292029,302634,312516,323791,329177
Age 60,243234,268474,280249,281946,286086,357094,329582,307498,296159,288397,283724,290613,291647,290440,301105,310506,321653
Age 61,226952,240396,265250,277581,278277,281085,355055,326472,305183,293435,285879,281381,288624,289865,288621,298949,308159
Age 62,236188,223570,237223,262037,274706,273488,277888,352980,323356,302337,290774,283213,279117,286686,287859,286344,296626
Age 63,236205,232657,219891,234045,258442,270581,270322,274907,350973,319545,299566,288198,281118,277065,284493,285317,284029
Age 64,233671,232514,228813,216133,230594,253817,267984,266942,271922,348284,316237,296599,285582,278626,274527,281773,282719
Age 65,226125,229079,227871,224824,211600,226897,250781,265339,264112,268158,344370,312711,293538,282597,275569,271256,278642
Age 66,217647,221276,224452,223765,220453,207576,223944,247456,262959,260309,264934,340423,309438,290291,279440,272284,268184
